ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Media_ID,Part_Of_Speech,Original_Translation,Text_ID,Sentence_Number,Phrase_Number,Speaker_ID
convcosnoind-52,yab,toto yoti tajtoj mare,toto	y-oti-∅	taj-toj	mare,non_Indian	LK-meat-PERT	say-CIRC.NMLZ	?,what they call the food of the criollos (auto),,,convcosnoind-52,?	?	?	?,lo que llaman la comida de los criollos,convcosnoind,52,,pape
convcosnoind-53,yab,"inijpë tawara, inijpë",ini-jpë	tawara	ini-jpë,see-PST	too	see-PST,"They saw it too, they saw it.",,,convcosnoind-53,?	?	?,"lo vieron también, lo vieron",convcosnoind,53,,pape
convcosnoind-126,yab,ati ke ejnë yoti yamanë wejsapë tëwï,ati	ke	ejnë	y-oti-∅	yamanë-∅	wej-sapë	tëwï,what	INS	1+2PRO	LK-meat-PERT	make-IPFV	COP-PST	3PRO,with that we used to prepare the meat (auto),,,convcosnoind-126,?	?	?	?	?	?	?,con ese preparabamos la carne,convcosnoind,126,,anfo
convcosnoind-132,yab,tëwï ya nepïjpë wejsapë,tëwï	ya	nepï-jpë	wej-sapë,3PRO	ERG	bring-PST	COP-PST,he brought it (auto),,,convcosnoind-132,?	?	?	?,él lo trajo,convcosnoind,132,,anfo
convestsjm-35,yab,entë ma teijpojra wejtane,entë	ma	teijpo=jra	wej-tane,here.LOC	RST	far=NEG	COP-CNCS,although it is close to here (auto),,,convestsjm-35,?	?	?	?,aunque está cerca de aquí,convestsjm,35,,pape
convestsjm-42,yab,tawara chipëkë takï wïrë ëmpamïja wejsapë tase wïrë,tawara	chipëkë	takï	wïrë	ëmpamï-ja	wejsapë	tase	wïrë,too	because	CNFRM	1PRO	learn-NEG	?	?	1PRO,"as it was so I did not learn, I say (auto)",,,convestsjm-42,?	?	?	?	?	?	?	?,"como era así yo no aprendí, digo",convestsjm,42,,pape
convrisamaj-1,yab,"ati rë warai mërë iniri, irëjpë mëyarika ti",ati	rë	warai	mërë	ini-ri	irëjpë	më=yarika-∅	ti,what	EMP	like	2PRO	see-IPFV	then	2=laugh-IPFV	HSY,You see something and then you laugh.,,,convrisamaj-1,?	?	?	?	?	?	?	?,ve una cosa y después usted se ríe,convrisamaj,1,,elpe
convrisamaj-4,yab,wïrë yaruwarijra,wïrë	yaruwa-ri=jra,1PRO	laugh-IPFV=NEG,I don’t laugh.,,interesting utterance-level stress pattern,convrisamaj-4,?	?,!‘yo no me río,convrisamaj,4,,grme
convrisamaj-6,yab,¿ kwase ejnë yaruwari?,kwase	ejnë	yaruwa-ri,how	1+2PRO	laugh-IPFV,How will we laugh?,,more material after yaruwari,convrisamaj-6,?	?	?,¿cómo vamos a reir?,convrisamaj,6,,elpe
convrisamaj-12,yab,¿ ati ejnë yaruwari?,ati	ejnë	yaruwa-ri,what	1+2PRO	laugh-IPFV,What are we going to laugh about?,,Shows ati not acting as a noun.,convrisamaj-12,?	?	?,¿de qué nos vamos a reir?,convrisamaj,12,,elpe
convrisamaj-24,yab,wïrë wajyakïtïjra taro wïrë ta wïrë ya,wïrë	wajyakïtï-∅=jra	taro-∅	wïrë	ta-∅	wïrë	ya,1PRO	be_happy-IPFV=NEG	say-IPFV	1PRO	say-IPFV	1PRO	ERG,I’m saying I am not happy.,,,convrisamaj-24,?	?	?	?	?	?	?,yo si no estoy alegre (como ustedes),convrisamaj,24,,grme
convrisamaj-28,yab,uyïwïj yawë usenejkari sukuri jwama,u=y-ïwïj-∅	yawë	u=senejka-ri	sukuri	jwama,1=LK-house-PERT	LOC	1=stay-IPFV	silently	***,I silently stay in my house.,,,convrisamaj-28,?	?	?	?	?,yo me quedo en mi casa tranquila,convrisamaj,28,,grme
convrisamaj-42,yab,yaruwakontomo yatum ponoko,yaruwa-∅=kontomo	yatum	ponoko,laugh-IPFV=PL	day	***,They laugh every day.,,where does this /ponoko/ come from? it's nowhere else and I don't hear it,convrisamaj-42,?	?	?,se rien cada dia,convrisamaj,42,,grme
convrisamaj-44,yab,wïrë inija ta rë,wïrë	ini-ja	ta	rë,1PRO	see-NEG	like	EMP,I haven’t seen.,,,convrisamaj-44,?	?	?	?,yo no he visto,convrisamaj,44,,elpe
convrisamaj-46,yab,uyarë wïrë përemekïrï,u=yarë	wïrë	përemekï-rï,1=alone	1PRO	talk-IPFV,I just talk.,,,convrisamaj-46,?	?	?,yo hablo sola,convrisamaj,46,,grme
convrisamaj-47,yab,"aniki narëpe yakërë ejnë përemekïrï, ejnë pëkëpene, wanene",aniki	narëpe	yakërë	ejnë	përemekï-rï	ejnë	pëkëpene	wanene,who	PART	***	1+2PRO	talk-IPFV	1+2PRO	alone	aunt,"Who are we gonna talk to? We’re alone, aunt.",,Predicative postposition?,convrisamaj-47,?	?	?	?	?	?	?	?,"con quién será que vamos a hablar nosotros, nosotras estamos solas",convrisamaj,47,,elpe
convfemgrme-17,yab,wïrë tëtojpe mëyakërë,wïrë	të-tojpe	mëyakërë,1PRO	go-FUT	***,,,,,?	?	?,,convfemgrme,17,,grme
convfemgrme-43,yab,mërë warë mëyënëtojpano ka uyakërë mërë wepïrï,mërë	wa=rë	më=yënë-tojpano	ka	uyakërë	mërë	wepï-rï,2PRO	thus=EMP	2=eat(meat)-FUT.CONCL	?	***	2PRO	come-IPFV,so for you to eat you came with me? (auto),,,,?	?	?	?	?	?	?,así para tú comer tu viniste conmigo?,convfemgrme,43,,grme
convfemgrme-48,yab,muku pana yënënijpë ti,muku	pana	yënënijpë	ti,child	?	***	HSY,"the one who ate a child's ear, so they say (auto)",,,,?	?	?	?,"el que comió la oreja de un niño, así dicen",convfemgrme,48,,grme
convfemgrme-60,yab,kwase neke wejsapë tëwï ma anajmori ya yakarama wejsapë,kwase	neke	wej-sapë	tëwï	ma	a-najmo-ri	ya	yakarama-∅	wej-sapë,how	CNTR	COP-PST	3PRO	RST	2-grandmother-PERT	ERG	tell-IPFV	COP-PST,"what it was like, that's all your grandmother said.",,,,?	?	?	?	?	?	?	?	?,"cómo era, eso nada más contaba tu abuela",convfemgrme,60,,grme
convfemgrme-113,yab,"ë'ë, tawara takï chapëtiri tëwï",ë'ë	tawara	takï	chapëtiri	tëwï,***	too	CNFRM	***	3PRO,"yes, it also shouts that (auto)",,,,?	?	?	?	?,"sí, también grita ese",convfemgrme,113,,came
convfemgrme-183,yab,uyarë wïrë wïnïkïrïjra,uyarë	wïrë	wïnïkï-rï=jra,?	1PRO	sleep-IPFV=NEG,I did not sleep apart (auto),,,,?	?	?,yo no dormía aparte,convfemgrme,183,,grme
convfemgrme-217,yab,"iyawë chipëkë, tayawankase",iyawë	chipëkë	ta-yawanka-se,***	because	3P-kill-PST,"therefore, he killed her (auto)",,,,?	?	?,"por eso, la mató",convfemgrme,217,,grme
convfemgrme-231,yab,entë mëinpojra wïrë ya,entë	mëinpojra	wïrë	ya,here.LOC	***	1PRO	?,I don't want to see them here (auto),,,,?	?	?	?,yo no los quiero ver aquí,convfemgrme,231,,grme
convfemgrme-232,yab,mëini wïrë ya,më=ini-∅	wïrë	ya,2=see-IPFV	1PRO	ERG,te voy a ver (auto),,,,?	?	?,te voy a ver,convfemgrme,232,,grme
convfemgrme-233,yab,mërë ya wïrë inija wejtane,mërë	ya	wïrë	ini-ja	wej-tane,2PRO	ERG	1PRO	see-NEG	COP-CNCS,pero tu no me vas a ver (auto),,,,?	?	?	?	?,pero tu no me vas a ver,convfemgrme,233,,grme
convfemgrme-260,yab,wïrë yapëri moronta chi taji,wïrë	y-apë-ri	moronta-∅	chi-∅	taji,1PRO	LK-arm_wing-PERT	hurt-IPFV	COP-IPFV	FOC,my arms hurt (auto),,,,?	?	?	?	?,me duelen los brazos,convfemgrme,260,,grme
convfemgrme-298,yab,këyaja wïrë,këya-ja	wïrë,think-NEG	1PRO,no sé (auto),,,,?	?,no sé,convfemgrme,298,,grme
convfemgrme-304,yab,"mmm, imukuru ma",mmm	i-muku-ru	ma,yes	3-child-PERT	RST,"Yes, his son.",,,,?	?	?,"sí, su hijo",convfemgrme,304,,came
histanfo-1,yab,wïrë tawara rë entë,wïrë	tawara	rë	entë,1PRO	too	EMP	here.LOC,I was here (in San Juan Manapiare).,,,histanfo-1,?	?	?	?,yo estaba aquí (en San Juan Manapiare),histanfo,1,,anfo
histanfo-2,yab,"ana këyetajpë, intipijkë ana chi yawë",ana	këyeta-jpë	intipijkë	ana	chi-∅	yawë,1+3PRO	grow-PST	small	1+3PRO	COP-ACNNMLZ	LOC,We grew up when we were little kids,,,histanfo-2,?	?	?	?	?	?,nos criamos cuando estábamos chiquiticos nosotros,histanfo,2,,anfo
histanfo-3,yab,ana yïmï sëmajpë pe,ana	y-ïmï	sëma-jpë	pe,1+3PRO	LK-father	die-PST.ACNNMLZ	ESS,when our father died.,,,histanfo-3,?	?	?	?,cuando se murió mi papá,histanfo,3,,anfo
histanfo-4,yab,"ana këyetase papa kampra ya, ana yoti wejsapë yojtë ta sukase aroma warai, yakuri warai yojtë wejsaj ta",ana	këyeta-se	papa	kampra	ya	ana	y-oti-∅	wej-sapë	yojtë-∅	ta	sukase	aroma	warai	yakuri	warai	yojtë-∅	wej-saj	ta,1+3PRO	grow-PST	father	big	ERG	1+3PRO	LK-meat-PERT	COP-PST	fish_with_hook-IPFV	like	all	limpet	like	agouti	like	fish_with_hook-IPFV	COP-PST	like,"(When) we grew up, my uncle fished our food; fished everything: limpet, picure...",,"aroma and yakuri with warai, what's the object?",histanfo-4,?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?,"nosotros crecimos, mi tio pescaba toda nuestra comida, lapa, picure",histanfo,4,,anfo
histanfo-5,yab,"papa kampra ya, makampra ya ta wejsaj ta, maijtë kaimotata, mukuton yomiri",papa	kampra	ya	makampra	ya	ta-∅	wej-saj	ta	maijtë	kaimota-ta	muku-ton	yomi-ri,father	big	OBL	aunt	ERG	say-IPFV	COP-PST	like	go.IMP	hunt-MOTIMP	child-PL	be_hungry-IPFV,"My aunt said to my uncle: “go hunt, the children are hungry”.",,"non-ERG ya is prosodically marked. How does ""maijtë kaimotata"" fit together?",histanfo-5,?	?	?	?	?	?	?	?	?	?	?	?,"mi tía estaba diciendo para mi tío ""vaya a cazar que los niños tienen hambre""",histanfo,5,,anfo
histanfo-6,yab,"asamori ta wejsaj ta, irë makë ta wejsapë",asamo-ri	ta-∅	wej-saj	ta	irë	makë	ta-∅	wej-sapë,cry-IPFV	say-IPFV	COP-PST	like	3ANA.INAN	mom	say-IPFV	COP-PST,"My aunt said ""they are crying"".",,,histanfo-6,?	?	?	?	?	?	?	?,"mi  tía dijo ""están llorando""",histanfo,6,,anfo
histanfo-7,yab,"pachi, kërë takï yëmi pïnirë",pachi	kërë	takï	yëmi-∅	pïnirë,older_sister_of_woman	PROX.ANIM	CNFRM	be_hungry-ACNNMLZ	NEG,"""sister, that one is not hungry"".",,NVP with nominalized verb. Unclear who kërë refers to.,histanfo-7,?	?	?	?	?,"dijo ""hermana, ese no tiene hambre""",histanfo,7,,anfo
histanfo-8,yab,asamorijra asamori muku,asamo-ri=jra	asamo-ri	muku,cry-IPFV=NEG	cry-IPFV	child,?,,"rijra-ri construction, prosodically integrated",histanfo-8,?	?	?,por llorar no más lloran los niños,histanfo,8,,anfo
histanfo-9,yab,"tejetum pïnika, ta wejsaj ta makë ya, makë pano ya",tejetum	pïnika	ta-∅	wej-saj	ta-∅	makë	ya	makë	pano	ya,sick	PROB	say-IPFV	COP-PST	say-IPFV	mom	ERG	mom	FMR	ERG,"""That one is probably sick"", said my mother, my late mother.",,What is the extent of quoted speech here? Unclear who is sick.,histanfo-9,?	?	?	?	?	?	?	?	?	?,"mi mamá decía ""no ese está enfermo será",histanfo,9,,anfo
