ID,Form_ID,Wordform_ID,Index
ajpachikejra-clean-0,ajpachikejra-clean,ajpachike-undergrowth-prop,0
ajpachikejra-clean-1,ajpachikejra-clean,jra-neg,1
akajra-arc-0,akajra-arc,aka-ouch-cry-of-pain,0
akajra-arc-1,akajra-arc,jra-neg,1
asakejne-two-0,asakejne-two,asake-two,0
asakejne-two-1,asakejne-two,jne-pl,1
enijne-prox-inan-pl-0,enijne-prox-inan-pl,eni-prox-inan,0
enijne-prox-inan-pl-1,enijne-prox-inan-pl,jne-pl,1
kaimokejra-unsuccessfully-hunted-0,kaimokejra-unsuccessfully-hunted,kaimoke-game-prop,0
kaimokejra-unsuccessfully-hunted-1,kaimokejra-unsuccessfully-hunted,jra-neg,1
keyape-cautious-0,keyape-cautious,keya-think-acnnmlz,0
keyape-cautious-1,keyape-cautious,pe-ess,1
mejnijne-dist-inan-pl-0,mejnijne-dist-inan-pl,mejni-dist-inan,0
mejnijne-dist-inan-pl-1,mejnijne-dist-inan-pl,jne-pl,1
panakejra-disobedient-0,panakejra-disobedient,panake-ear-prop,0
panakejra-disobedient-1,panakejra-disobedient,jra-neg,1
tatune-hot-0,tatune-hot,tatu-3p-give-ipfv,0
tatune-hot-1,tatune-hot,ne-ints,1
teijpojra-close-0,teijpojra-close,teijpo-far,0
teijpojra-close-1,teijpojra-close,jra-neg,1
weseyupe-brave-0,weseyupe-brave,weseyu-be-angry-acnnmlz,0
weseyupe-brave-1,weseyupe-brave,pe-ess,1
mokontomo-2pl-pro-ya-erg-mokontomo-2pl-pro-1,mokontomo-2pl-pro-ya-erg,mokontomo-2pl-pro,0
mokontomo-2pl-pro-ya-erg-ya-erg-2,mokontomo-2pl-pro-ya-erg,ya-erg,1
mokontomo-2pl-pro-yenijpe-drink-pst-mokontomo-2pl-pro-1,mokontomo-2pl-pro-yenijpe-drink-pst,mokontomo-2pl-pro,0
mokontomo-2pl-pro-yenijpe-drink-pst-yenijpe-drink-pst-2,mokontomo-2pl-pro-yenijpe-drink-pst,yenijpe-drink-pst,1
mokontomo-2pl-pro-ta-say-ipfv-mokontomo-2pl-pro-1,mokontomo-2pl-pro-ta-say-ipfv,mokontomo-2pl-pro,0
mokontomo-2pl-pro-ta-say-ipfv-ta-say-ipfv-2,mokontomo-2pl-pro-ta-say-ipfv,ta-say-ipfv,1
tewi-3pro-yoti-lk-meat-pert-tewi-3pro-1,tewi-3pro-yoti-lk-meat-pert,tewi-3pro,0
tewi-3pro-yoti-lk-meat-pert-yoti-lk-meat-pert-2,tewi-3pro-yoti-lk-meat-pert,yoti-lk-meat-pert,1
tewi-3pro-warai-like-tewi-3pro-1,tewi-3pro-warai-like,tewi-3pro,0
tewi-3pro-warai-like-warai-like-2,tewi-3pro-warai-like,warai-like,1
tewi-3pro-waraij-like-tewi-3pro-1,tewi-3pro-waraij-like,tewi-3pro,0
tewi-3pro-waraij-like-waraij-like-2,tewi-3pro-waraij-like,waraij-like,1
tewi-3pro-tase-say-pst-tewi-3pro-1,tewi-3pro-tase-say-pst,tewi-3pro,0
tewi-3pro-tase-say-pst-tase-say-pst-2,tewi-3pro-tase-say-pst,tase-say-pst,1
tewi-3pro-asuka-sugar-tewi-3pro-1,tewi-3pro-asuka-sugar,tewi-3pro,0
tewi-3pro-asuka-sugar-asuka-sugar-2,tewi-3pro-asuka-sugar,asuka-sugar,1
tewi-3pro-chi-cop-acnnmlz-tewi-3pro-1,tewi-3pro-chi-cop-acnnmlz,tewi-3pro,0
tewi-3pro-chi-cop-acnnmlz-chi-cop-acnnmlz-2,tewi-3pro-chi-cop-acnnmlz,chi-cop-acnnmlz,1
tewi-3pro-yawe-loc-tewi-3pro-1,tewi-3pro-yawe-loc,tewi-3pro,0
tewi-3pro-yawe-loc-yawe-loc-2,tewi-3pro-yawe-loc,yawe-loc,1
neke-ne-cntr-ints-0,neke-ne-cntr-ints,neke-cntr,0
neke-ne-cntr-ints-1,neke-ne-cntr-ints,ne-ints,1
tewi-3pro-yewenke-lk-ignorant-tewi-3pro-1,tewi-3pro-yewenke-lk-ignorant,tewi-3pro,0
tewi-3pro-yewenke-lk-ignorant-yewenke-lk-ignorant-2,tewi-3pro-yewenke-lk-ignorant,yewenke-lk-ignorant,1
nwa-re-thus-emp-0,nwa-re-thus-emp,nwa-thus,0
nwa-re-thus-emp-1,nwa-re-thus-emp,re-emp,1
ejne-1-2pro-wejsape-cop-pst-ejne-1-2pro-1,ejne-1-2pro-wejsape-cop-pst,ejne-1-2pro,0
ejne-1-2pro-wejsape-cop-pst-wejsape-cop-pst-2,ejne-1-2pro-wejsape-cop-pst,wejsape-cop-pst,1
tawara-ma-too-rst-0,tawara-ma-too-rst,tawara-too,0
tawara-ma-too-rst-1,tawara-ma-too-rst,ma-rst,1
tewi-3pro-kajwe-coffee-tewi-3pro-1,tewi-3pro-kajwe-coffee,tewi-3pro,0
tewi-3pro-kajwe-coffee-kajwe-coffee-2,tewi-3pro-kajwe-coffee,kajwe-coffee,1
tewi-3pro-yenija-drink-neg-tewi-3pro-1,tewi-3pro-yenija-drink-neg,tewi-3pro,0
tewi-3pro-yenija-drink-neg-yenija-drink-neg-2,tewi-3pro-yenija-drink-neg,yenija-drink-neg,1
wa-re-thus-emp-0,wa-re-thus-emp,wa-thus,0
wa-re-thus-emp-1,wa-re-thus-emp,re-emp,1
ejne-1-2pro-sere-bitter-manioc-ejne-1-2pro-1,ejne-1-2pro-sere-bitter-manioc,ejne-1-2pro,0
ejne-1-2pro-sere-bitter-manioc-sere-bitter-manioc-2,ejne-1-2pro-sere-bitter-manioc,sere-bitter-manioc,1
ejne-1-2pro-ke-ins-ejne-1-2pro-1,ejne-1-2pro-ke-ins,ejne-1-2pro,0
ejne-1-2pro-ke-ins-ke-ins-2,ejne-1-2pro-ke-ins,ke-ins,1
ejne-1-2pro-warai-like-ejne-1-2pro-1,ejne-1-2pro-warai-like,ejne-1-2pro,0
ejne-1-2pro-warai-like-warai-like-2,ejne-1-2pro-warai-like,warai-like,1
ejne-1-2pro-chawe-loc-ejne-1-2pro-1,ejne-1-2pro-chawe-loc,ejne-1-2pro,0
ejne-1-2pro-chawe-loc-chawe-loc-2,ejne-1-2pro-chawe-loc,chawe-loc,1
ejne-1-2pro-tanijpe-say-agtnmlz-pst-ejne-1-2pro-1,ejne-1-2pro-tanijpe-say-agtnmlz-pst,ejne-1-2pro,0
ejne-1-2pro-tanijpe-say-agtnmlz-pst-tanijpe-say-agtnmlz-pst-2,ejne-1-2pro-tanijpe-say-agtnmlz-pst,tanijpe-say-agtnmlz-pst,1
tewi-3pro-yenija-drink-neg-1-tewi-3pro-1,tewi-3pro-yenija-drink-neg-1,tewi-3pro,0
tewi-3pro-yenija-drink-neg-1-yenija-drink-neg-1-2,tewi-3pro-yenija-drink-neg-1,yenija-drink-neg-1,1
ejne-1-2pro-yeneja-eat-meat-neg-ejne-1-2pro-1,ejne-1-2pro-yeneja-eat-meat-neg,ejne-1-2pro,0
ejne-1-2pro-yeneja-eat-meat-neg-yeneja-eat-meat-neg-2,ejne-1-2pro-yeneja-eat-meat-neg,yeneja-eat-meat-neg,1
ejne-1-2pro-yoti-lk-meat-pert-ejne-1-2pro-1,ejne-1-2pro-yoti-lk-meat-pert,ejne-1-2pro,0
ejne-1-2pro-yoti-lk-meat-pert-yoti-lk-meat-pert-2,ejne-1-2pro-yoti-lk-meat-pert,yoti-lk-meat-pert,1
ejne-1-2pro-yuru-lk-starchy-food-pert-ejne-1-2pro-1,ejne-1-2pro-yuru-lk-starchy-food-pert,ejne-1-2pro,0
ejne-1-2pro-yuru-lk-starchy-food-pert-yuru-lk-starchy-food-pert-2,ejne-1-2pro-yuru-lk-starchy-food-pert,yuru-lk-starchy-food-pert,1
tewi-3pro-yenipeke-drink-prog-tr-tewi-3pro-1,tewi-3pro-yenipeke-drink-prog-tr,tewi-3pro,0
tewi-3pro-yenipeke-drink-prog-tr-yenipeke-drink-prog-tr-2,tewi-3pro-yenipeke-drink-prog-tr,yenipeke-drink-prog-tr,1
chi-ke-ne-cop-acnnmlz-prop-ints-0,chi-ke-ne-cop-acnnmlz-prop-ints,chike-cop-acnnmlz-prop,0
chi-ke-ne-cop-acnnmlz-prop-ints-1,chi-ke-ne-cop-acnnmlz-prop-ints,ne-ints,1
ejne-1-2pro-yemepeti-eat-fruits-eggs-soup-plur-ipfv-ejne-1-2pro-1,ejne-1-2pro-yemepeti-eat-fruits-eggs-soup-plur-ipfv,ejne-1-2pro,0
ejne-1-2pro-yemepeti-eat-fruits-eggs-soup-plur-ipfv-yemepeti-eat-fruits-eggs-soup-plur-ipfv-2,ejne-1-2pro-yemepeti-eat-fruits-eggs-soup-plur-ipfv,yemepeti-eat-fruits-eggs-soup-plur-ipfv,1
ejne-1-2pro-ya-erg-ejne-1-2pro-1,ejne-1-2pro-ya-erg,ejne-1-2pro,0
ejne-1-2pro-ya-erg-ya-erg-2,ejne-1-2pro-ya-erg,ya-erg,1
ejne-1-2pro-keyatajpe-grow-pst-acnnmlz-ejne-1-2pro-1,ejne-1-2pro-keyatajpe-grow-pst-acnnmlz,ejne-1-2pro,0
ejne-1-2pro-keyatajpe-grow-pst-acnnmlz-keyatajpe-grow-pst-acnnmlz-2,ejne-1-2pro-keyatajpe-grow-pst-acnnmlz,keyatajpe-grow-pst-acnnmlz,1
tewi-3pro-enireno-now-nmlz-tewi-3pro-1,tewi-3pro-enireno-now-nmlz,tewi-3pro,0
tewi-3pro-enireno-now-nmlz-enireno-now-nmlz-2,tewi-3pro-enireno-now-nmlz,enireno-now-nmlz,1
tewi-3pro-takere-3-with-tewi-3pro-1,tewi-3pro-takere-3-with,tewi-3pro,0
tewi-3pro-takere-3-with-takere-3-with-2,tewi-3pro-takere-3-with,takere-3-with,1
tewi-3pro-toto-non-indian-tewi-3pro-1,tewi-3pro-toto-non-indian,tewi-3pro,0
tewi-3pro-toto-non-indian-toto-non-indian-2,tewi-3pro-toto-non-indian,toto-non-indian,1
ejne-1-2pro-yene-eat-meat-ipfv-ejne-1-2pro-1,ejne-1-2pro-yene-eat-meat-ipfv,ejne-1-2pro,0
ejne-1-2pro-yene-eat-meat-ipfv-yene-eat-meat-ipfv-2,ejne-1-2pro-yene-eat-meat-ipfv,yene-eat-meat-ipfv,1
ejne-1-2pro-iyajtenijpe-care-for-agtnmlz-pst-ejne-1-2pro-1,ejne-1-2pro-iyajtenijpe-care-for-agtnmlz-pst,ejne-1-2pro,0
ejne-1-2pro-iyajtenijpe-care-for-agtnmlz-pst-iyajtenijpe-care-for-agtnmlz-pst-2,ejne-1-2pro-iyajtenijpe-care-for-agtnmlz-pst,iyajtenijpe-care-for-agtnmlz-pst,1
ejne-1-2pro-keyamanijpe-raise-agtnmlz-pst-ejne-1-2pro-1,ejne-1-2pro-keyamanijpe-raise-agtnmlz-pst,ejne-1-2pro,0
ejne-1-2pro-keyamanijpe-raise-agtnmlz-pst-keyamanijpe-raise-agtnmlz-pst-2,ejne-1-2pro-keyamanijpe-raise-agtnmlz-pst,keyamanijpe-raise-agtnmlz-pst,1
ejne-1-2pro-kampra-big-ejne-1-2pro-1,ejne-1-2pro-kampra-big,ejne-1-2pro,0
ejne-1-2pro-kampra-big-kampra-big-2,ejne-1-2pro-kampra-big,kampra-big,1
impare-ne-already-ints-0,impare-ne-already-ints,impare-already,0
impare-ne-already-ints-1,impare-ne-already-ints,ne-ints,1
tewi-3pro-tanijpe-say-agtnmlz-pst-tewi-3pro-1,tewi-3pro-tanijpe-say-agtnmlz-pst,tewi-3pro,0
tewi-3pro-tanijpe-say-agtnmlz-pst-tanijpe-say-agtnmlz-pst-2,tewi-3pro-tanijpe-say-agtnmlz-pst,tanijpe-say-agtnmlz-pst,1
ta-jne-3pro-pl-0,ta-jne-3pro-pl,ta-3pro,0
ta-jne-3pro-pl-1,ta-jne-3pro-pl,jne-pl,1
tewi-3pro-tewenke-3-ignorant-tewi-3pro-1,tewi-3pro-tewenke-3-ignorant,tewi-3pro,0
tewi-3pro-tewenke-3-ignorant-tewenke-3-ignorant-2,tewi-3pro-tewenke-3-ignorant,tewenke-3-ignorant,1
tewi-3pro-senkaja-finish-neg-tewi-3pro-1,tewi-3pro-senkaja-finish-neg,tewi-3pro,0
tewi-3pro-senkaja-finish-neg-senkaja-finish-neg-2,tewi-3pro-senkaja-finish-neg,senkaja-finish-neg,1
mokontomo-2pl-pro-yoti-lk-meat-pert-mokontomo-2pl-pro-1,mokontomo-2pl-pro-yoti-lk-meat-pert,mokontomo-2pl-pro,0
mokontomo-2pl-pro-yoti-lk-meat-pert-yoti-lk-meat-pert-2,mokontomo-2pl-pro-yoti-lk-meat-pert,yoti-lk-meat-pert,1
mokontomo-2pl-pro-tajtoj-say-circ-nmlz-mokontomo-2pl-pro-1,mokontomo-2pl-pro-tajtoj-say-circ-nmlz,mokontomo-2pl-pro,0
mokontomo-2pl-pro-tajtoj-say-circ-nmlz-tajtoj-say-circ-nmlz-2,mokontomo-2pl-pro-tajtoj-say-circ-nmlz,tajtoj-say-circ-nmlz,1
ejne-1-2pro-inawe-have-ejne-1-2pro-1,ejne-1-2pro-inawe-have,ejne-1-2pro,0
ejne-1-2pro-inawe-have-inawe-have-2,ejne-1-2pro-inawe-have,inawe-have,1
tewi-3pro-tajto-say-circ-nmlz-tewi-3pro-1,tewi-3pro-tajto-say-circ-nmlz,tewi-3pro,0
tewi-3pro-tajto-say-circ-nmlz-tajto-say-circ-nmlz-2,tewi-3pro-tajto-say-circ-nmlz,tajto-say-circ-nmlz,1
ejne-1-2pro-yaweno-loc-nmlz-ejne-1-2pro-1,ejne-1-2pro-yaweno-loc-nmlz,ejne-1-2pro,0
ejne-1-2pro-yaweno-loc-nmlz-yaweno-loc-nmlz-2,ejne-1-2pro-yaweno-loc-nmlz,yaweno-loc-nmlz,1
ejne-1-2pro-tajtoj-say-circ-nmlz-ejne-1-2pro-1,ejne-1-2pro-tajtoj-say-circ-nmlz,ejne-1-2pro,0
ejne-1-2pro-tajtoj-say-circ-nmlz-tajtoj-say-circ-nmlz-2,ejne-1-2pro-tajtoj-say-circ-nmlz,tajtoj-say-circ-nmlz,1
ejne-1-2pro-yamane-make-ipfv-ejne-1-2pro-1,ejne-1-2pro-yamane-make-ipfv,ejne-1-2pro,0
ejne-1-2pro-yamane-make-ipfv-yamane-make-ipfv-2,ejne-1-2pro-yamane-make-ipfv,yamane-make-ipfv,1
tewi-3pro-ya-erg-tewi-3pro-1,tewi-3pro-ya-erg,tewi-3pro,0
tewi-3pro-ya-erg-ya-erg-2,tewi-3pro-ya-erg,ya-erg,1
tewi-3pro-nepijpe-bring-pst-tewi-3pro-1,tewi-3pro-nepijpe-bring-pst,tewi-3pro,0
tewi-3pro-nepijpe-bring-pst-nepijpe-bring-pst-2,tewi-3pro-nepijpe-bring-pst,nepijpe-bring-pst,1
tewi-3pro-wejsape-cop-pst-tewi-3pro-1,tewi-3pro-wejsape-cop-pst,tewi-3pro,0
tewi-3pro-wejsape-cop-pst-wejsape-cop-pst-2,tewi-3pro-wejsape-cop-pst,wejsape-cop-pst,1
ejne-1-2pro-ijmojkatopo-cook-circ-nmlz-ejne-1-2pro-1,ejne-1-2pro-ijmojkatopo-cook-circ-nmlz,ejne-1-2pro,0
ejne-1-2pro-ijmojkatopo-cook-circ-nmlz-ijmojkatopo-cook-circ-nmlz-2,ejne-1-2pro-ijmojkatopo-cook-circ-nmlz,ijmojkatopo-cook-circ-nmlz,1
neke-n-cntr-ints-0,neke-n-cntr-ints,neke-cntr,0
neke-n-cntr-ints-1,neke-n-cntr-ints,n-ints,1
ejne-1-2pro-yaponteri-lk-seat-pert-ejne-1-2pro-1,ejne-1-2pro-yaponteri-lk-seat-pert,ejne-1-2pro,0
ejne-1-2pro-yaponteri-lk-seat-pert-yaponteri-lk-seat-pert-2,ejne-1-2pro-yaponteri-lk-seat-pert,yaponteri-lk-seat-pert,1
tu-ri-ma-give-acnnmlz-rst-0,tu-ri-ma-give-acnnmlz-rst,turi-give-acnnmlz,0
tu-ri-ma-give-acnnmlz-rst-1,tu-ri-ma-give-acnnmlz-rst,ma-rst,1
ejne-1-2pro-yewenke-lk-ignorant-ejne-1-2pro-1,ejne-1-2pro-yewenke-lk-ignorant,ejne-1-2pro,0
ejne-1-2pro-yewenke-lk-ignorant-yewenke-lk-ignorant-2,ejne-1-2pro-yewenke-lk-ignorant,yewenke-lk-ignorant,1
kwase-ne-how-ints-0,kwase-ne-how-ints,kwase-how,0
kwase-ne-how-ints-1,kwase-ne-how-ints,ne-ints,1
ejne-1-2pro-wepija-come-neg-ejne-1-2pro-1,ejne-1-2pro-wepija-come-neg,ejne-1-2pro,0
ejne-1-2pro-wepija-come-neg-wepija-come-neg-2,ejne-1-2pro-wepija-come-neg,wepija-come-neg,1
tewi-3pro-wejyate-in-house-of-tewi-3pro-1,tewi-3pro-wejyate-in-house-of,tewi-3pro,0
tewi-3pro-wejyate-in-house-of-wejyate-in-house-of-2,tewi-3pro-wejyate-in-house-of,wejyate-in-house-of,1
tewi-3pro-empamija-learn-neg-tewi-3pro-1,tewi-3pro-empamija-learn-neg,tewi-3pro,0
tewi-3pro-empamija-learn-neg-empamija-learn-neg-2,tewi-3pro-empamija-learn-neg,empamija-learn-neg,1
mokontomo-2pl-pro-wejyate-in-house-of-mokontomo-2pl-pro-1,mokontomo-2pl-pro-wejyate-in-house-of,mokontomo-2pl-pro,0
mokontomo-2pl-pro-wejyate-in-house-of-wejyate-in-house-of-2,mokontomo-2pl-pro-wejyate-in-house-of,wejyate-in-house-of,1
teijpo-jra-far-neg-0,teijpo-jra-far-neg,teijpo-far,0
teijpo-jra-far-neg-1,teijpo-jra-far-neg,jra-neg,1
tewi-3pro-yiwiti-lk-house-pert-tewi-3pro-1,tewi-3pro-yiwiti-lk-house-pert,tewi-3pro,0
tewi-3pro-yiwiti-lk-house-pert-yiwiti-lk-house-pert-2,tewi-3pro-yiwiti-lk-house-pert,yiwiti-lk-house-pert,1
mokontomo-2pl-pro-empamija-learn-neg-mokontomo-2pl-pro-1,mokontomo-2pl-pro-empamija-learn-neg,mokontomo-2pl-pro,0
mokontomo-2pl-pro-empamija-learn-neg-empamija-learn-neg-2,mokontomo-2pl-pro-empamija-learn-neg,empamija-learn-neg,1
wire-1pro-tanijpe-say-agtnmlz-pst-wire-1pro-1,wire-1pro-tanijpe-say-agtnmlz-pst,wire-1pro,0
wire-1pro-tanijpe-say-agtnmlz-pst-tanijpe-say-agtnmlz-pst-2,wire-1pro-tanijpe-say-agtnmlz-pst,tanijpe-say-agtnmlz-pst,1
wire-1pro-peke-about-wire-1pro-1,wire-1pro-peke-about,wire-1pro,0
wire-1pro-peke-about-peke-about-2,wire-1pro-peke-about,peke-about,1
