ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source,Media_ID,Morpho_Segments
mokontomo-2pl-pro-ya-erg,yab,2pl-pro-erg,mokontomo ya,,,,,
mokontomo-2pl-pro-yenijpe-drink-pst,yab,2pl-pro-drink-pst,mokontomo yeni-jpë,,,,,
mokontomo-2pl-pro-ta-say-ipfv,yab,2pl-pro-say-ipfv,mokontomo ta-∅,,,,,
tewi-3pro-yoti-lk-meat-pert,yab,3pro-lk-meat-pert,tëwï y-oti-∅,,,,,
tewi-3pro-warai-like,yab,3pro-like,tëwï warai,,,,,
tewi-3pro-waraij-like,yab,3pro-like,tëwï waraij,,,,,
tewi-3pro-tase-say-pst,yab,3pro-say-pst,tëwï ta-se,,,,,
tewi-3pro-asuka-sugar,yab,3pro-sugar,tëwï asuka,,,,,
tewi-3pro-chi-cop-acnnmlz,yab,3pro-cop-acnnmlz,tëwï chi-∅,,,,,
tewi-3pro-yawe-loc,yab,3pro-loc,tëwï yawë,,,,,
neke-ne-cntr-ints,yab,cntr-ints,neke=ne,,,,,
tewi-3pro-yewenke-lk-ignorant,yab,3pro-lk-ignorant,tëwï y-ewenke,,,,,
nwa-re-thus-emp,yab,thus-emp,nwa=rë,,,,,
ejne-1-2pro-wejsape-cop-pst,yab,1-2pro-cop-pst,ejnë wej-sapë,,,,,
tawara-ma-too-rst,yab,too-rst,tawara=ma,,,,,
tewi-3pro-kajwe-coffee,yab,3pro-coffee,tëwï kajwe,,,,,
tewi-3pro-yenija-drink-neg,yab,3pro-drink-neg,tëwï yeni-ja,,,,,
wa-re-thus-emp,yab,thus-emp,wa=rë,,,,,
ejne-1-2pro-sere-bitter-manioc,yab,1-2pro-bitter-manioc,ejnë sere,,,,,
ejne-1-2pro-ke-ins,yab,1-2pro-ins,ejnë ke,,,,,
ejne-1-2pro-warai-like,yab,1-2pro-like,ejnë warai,,,,,
ejne-1-2pro-chawe-loc,yab,1-2pro-loc,ejnë chawë,,,,,
ejne-1-2pro-tanijpe-say-agtnmlz-pst,yab,1-2pro-say-agtnmlz-pst,ejnë ta-ni-jpë,,,,,
tewi-3pro-yenija-drink-neg-1,yab,3pro-drink-neg,tëwï yëni-ja,,,,,
ejne-1-2pro-yeneja-eat-meat-neg,yab,1-2pro-eat-meat-neg,ejnë yënë-ja,,,,,
ejne-1-2pro-yoti-lk-meat-pert,yab,1-2pro-lk-meat-pert,ejnë y-oti-∅,,,,,
