ID,Name,Comment
wilderness,wilderness,
recovered,recovered,
undergrowth,undergrowth,
tucuma-palm,tucuma(palm),
pylon,pylon,
worm,worm,
maggot,maggot,
sweet-yucca,sweet_yucca,
ripeness,ripeness,
unidentified-plant,unidentified_plant,
1-3pro,1+3PRO,
wild-pineapple-sp,wild_pineapple_sp.,
ant-sp,ant_sp.,
annatto,annatto,
island,island,
fish-hook,fish_hook,
decrease,decrease,
ceiba,ceiba,
chrysalis,chrysalis,
later,later,
meanwhile,meanwhile,
seat,seat,
nest,nest,
soap,soap,
bracelet,bracelet,
dangerous,dangerous,
horned-beetle,horned_beetle,
wild-grape-sp,wild_grape_sp.,
monkey-spider,monkey_spider,
trembler,trembler,
rice,rice,
garbage,garbage,
difficult,difficult,
limpet,limpet,
ball-game,ball_game,
four,four,
two,two,
get-stuck,get_stuck,
dry-cough,dry_cough,
sugar,sugar,
plot-of-cultivated-land,plot_of_cultivated_land,
mountain-eagle,mountain_eagle,
wasp-sp,wasp_sp.,
tumor,tumor,
son-voc,son(voc.),
squeal,squeal,
body-movement,body_movement,
bite,bite,
knee,knee,
chigger,chigger,
path,path,
worm-dog,worm(dog),
fungus,fungus,
sp,sp,
caranna,caranna,
mange,mange,
star,star,
titi-monkey,titi_monkey,
wild-pineapple,wild_pineapple,
friend,friend,
nit,nit,
1-2pro,1+2PRO,
one,one,
now,now,
today,today,
from-here,from_here,
here,here,
loc,LOC,
escape,escape,
hide-and-seek,hide_and_seek,
cultivated-plant,cultivated_plant,
all,ALL,
egg,egg,
summit,summit,
have,have,
see,see,
small,small,
then,then,
hear,hear,
before,before,
care-for,care_for,
foot,foot,
ill,ILL,
aq,AQ,
game,game,
lightning,lightning,
big,big,
change,change,
dasypus-novemcinctus,dasypus_novemcinctus,
white,white,
take-out,take_out,
fruit-pit,fruit_pit,
fat,fat,
high,high,
louse,louse,
barbasco,barbasco,
gourd,gourd,
salamander,salamander,
become-tired,become_tired,
tail,tail,
night,night,
