ID,Language_ID,Name,Description,Part_Of_Speech,Parameter_ID,Comment,Paradigm_View,Source
achi-wilderness,yab,achi,,n,wilderness,,,
aijkorono-recovered,yab,aijkorono,,n,recovered,,,
ajpachi-undergrowth,yab,ajpachi,,n,undergrowth,,,
ajyu-tucuma-palm,yab,ajyu,,n,tucuma (palm),,,
ako-pylon,yab,ako,,n,pylon,,,
aki-worm,yab,akï,,n,worm; maggot,,,
amaka-sweet-yucca,yab,amaka,,n,sweet yucca,,,
amu-ripeness,yab,amu,,n,ripeness,,,
ami-unidentified-plant,yab,amï,,n,unidentified plant,,,
ana-1-3pro,yab,ana,,pn,1+3PRO,,,
anaijke-wild-pineapple-sp,yab,anaijkë,,n,wild pineapple sp.,,,
anake-ant-sp,yab,anakë,,n,ant sp.,,,
anau-ant-sp,yab,anau,,n,ant sp.,,,
anoto-annatto,yab,anoto,,n,annatto,,,
anta-island,yab,anta,,n,island,,,
ante-fish-hook,yab,antë,,n,fish hook,,,
apa-decrease,yab,apa,,vi,decrease,,,
apereku-ceiba,yab,apereku,,n,ceiba,,,
aperemu-chrysalis,yab,aperemu,,n,chrysalis,,,
api-ripeness,yab,api,,n,ripeness,,,
apo-later,yab,apo,,adv,later; meanwhile,,,
aponte-seat,yab,apontë,,n,seat; nest,,,
apuni-soap,yab,apuni,,n,soap,,,
apemiti-bracelet,yab,apëmïti,,n,bracelet,,,
arajmate-dangerous,yab,arajmatë,,adv,dangerous,,,
arata-horned-beetle,yab,arata,,n,horned beetle,,,
arauruku-wild-grape-sp,yab,arauruku,,n,wild grape sp.,,,
araway-wild-pineapple-sp,yab,araway,,n,wild pineapple sp.,,,
araya-monkey-spider,yab,araya,,n,monkey spider,,,
arina-trembler,yab,arina,,n,trembler,,,
aro-rice,yab,aro,,n,rice,,,
arojpete-garbage,yab,arojpëtë,,n,garbage,,,
arokate-difficult,yab,arokatë,,adv,difficult,,,
aroma-limpet,yab,aroma,,n,limpet,,,
aropoko-ball-game,yab,aropoko,,n,ball game,,,
asakontompene-four,yab,asakontompene,,adv,four,,,
asake-two,yab,asakë,,adv,two,,,
asare-get-stuck,yab,asarë,,vi,get stuck,,,
asere-dry-cough,yab,asere,,n,dry cough,,,
asuka-sugar,yab,asuka,,n,sugar,,,
ati-plot-of-cultivated-land,yab,ati,,n,plot of cultivated land,,,
awajpe-mountain-eagle,yab,awajpë,,n,mountain eagle,,,
awarake-wasp-sp,yab,awarakë,,n,wasp sp.,,,
awochi-tumor,yab,awochi,,n,tumor,,,
chai-son-voc,yab,chai,,n,son (voc.),,,
chijchipu-body-movement,yab,chijchipu,,n,body movement,,,
chika-bite,yab,chika,,vt,bite,,,
chike-chigger,yab,chikë,,n,chigger,,,
chima-path,yab,chima,,n,path,,,
chimichimi-worm-dog,yab,chimichimi,,n,worm (dog),,,
chipiyu-fungus-sp,yab,chipiyu,,n,fungus.sp,,,
chiramu-mange,yab,chiramu,,n,mange,,,
chirike-star,yab,chirikë,,n,star,,,
chiri-titi-monkey,yab,chiri,,n,titi monkey,,,
chiri-wild-pineapple,yab,chiri,,n,wild pineapple,,,
chiyakono-friend,yab,chiyakono,,n,friend,,,
chekey-nit,yab,chëkëy,,n,nit,,,
ejne-1-2pro,yab,ejnë,,pn,1+2PRO,,,
enijpete-one,yab,enijpëtë,,adv,one,,,
enire-now,yab,enirë,,adv,now; today,,,
entono-from-here,yab,entono,,n,from here,,,
ente-here-loc,yab,entë,,adv,here.LOC,,,
epe-escape,yab,epe,,vi,escape; hide and seek,,,
eretapi-cultivated-plant,yab,eretapi,,n,cultivated plant,,,
ewine-here-all,yab,ewinë,,adv,here.ALL,,,
ijmoy-egg,yab,ijmoy,,n,egg,,,
ijpu-summit,yab,ijpu,,n,summit,,,
inawe-have,yab,inawë,,postp,have,,,
ini-see,yab,ini,,vt,see,,,
intipijke-small,yab,intipijkë,,adv,small,? + [](morphemes.csv#cldf:pijkedim),,
iriyawe-then,yab,iriyawë,,adv,then,,,
irejpe-then,yab,irëjpë,,adv,then,,,
ita-hear,yab,ita,,vt,hear,,,
iyajtepe-before,yab,iyajtëpe,,adv,before,,,
iyajte-care-for,yab,iyajtë,,vt,care for,,,
jta-foot,yab,jta,,n,foot,,,
jwaka-ill-aq,yab,jwaka,,postp,ILL.AQ; LOC.AQ,,,
kaimo-game,yab,kaimo,,n,game,,,
kamere-lightning,yab,kamere,,n,lightning,,,
kampara-big,yab,kampara,,n,big,,,
kamwiyajka-change,yab,kamwiyajka,,vt,change,,,
kapau-dasypus-novemcinctus,yab,kapau,,n,dasypus novemcinctus,,,
karasake-white,yab,karasake,,adv,white,Probably contains [mp](keprop).,,
ka-take-out,yab,ka,,vt,take out,,,
kasajpe-fruit-pit,yab,kasajpë,,n,fruit pit,,,
kaso-fat,yab,kaso,,n,fat,,,
kawono-high,yab,kawono,,n,high,,,
kawe-high,yab,kawë,,adv,high,,,
kayami-louse,yab,kayamï,,n,louse,,,
kaya-barbasco,yab,kaya,,n,barbasco,,,
kaya-gourd,yab,kaya,,n,gourd,,,
kejkepe-salamander,yab,kejkepe,,n,salamander,,,
kinta-become-tired,yab,kinta,,vi,become tired,,,
kocha-tail,yab,kocha,,n,tail,,,
kojpa-night,yab,kojpa,,n,night,,,
konopo-rain,yab,konopo,,n,rain,,,
ko-brassolis-sophorae,yab,ko,,n,brassolis sophorae,,,
kuku-answer,yab,kuku,,vt,answer,,,
kune-cook,yab,kunë,,vt,cook,,,
kuru-prochilodus-mariae,yab,kuru,,n,prochilodus mariae,,,
kuruwa-coroba-palm,yab,kuruwa,,n,coroba palm,,,
kuya-tree-sp,yab,kuya,,n,tree.sp,,,
kuyuwi-bird-sp,yab,kuyuwi,,n,bird.sp,,,
kejma-hunt,yab,këjma,,vt,hunt,,,
kemu-pus,yab,këmu,,n,pus,,,
keta-stink,yab,këta,,vi,stink,,,
ketejwate-cotton,yab,këtëjwatë,,n,cotton,,,
keya-think,yab,këya,,vi,think,,,
kimiy-chili,yab,kïmïy,,n,chili,,,
kiripi-go-out,yab,kïrïpï,,vi,go out,,,
maka-ceiba-pentandra,yab,maka,,n,ceiba pentandra,,,
makarike-cayman,yab,makarikë,,n,cayman,,,
makuyupi-catfish-sp,yab,makuyupi,,n,catfish.sp,,,
make-mom,yab,makë,,n,mom,,,
mapara-chicken,yab,mapara,,n,chicken,,,
mare-still,yab,marë,,adv,still,,,
mati-breast,yab,mati,,n,breast,,,
mejya-cover,yab,mejya,,n,cover,,,
miti-root,yab,miti,,n,root; vein,,,
mone-vagina,yab,mone,,n,vagina,,,
moneka-girl-voc,yab,moneka,,n,girl.VOC,,,
monkontomo-2pl-pro,yab,monkontomo,,pn,2PL.PRO,,,
moroko-fish,yab,moroko,,n,fish,,,
morone-hurting,yab,morone,,adv,hurting,,,
moroni-pain,yab,moroni,,n,pain,,,
morono-poison,yab,morono,,n,poison,,,
moto-worm,yab,moto,,n,worm,,,
moyochi-spider-sp,yab,moyochi,,n,spider (sp.),,,
mujna-grave,yab,mujna,,n,grave,,,
mujyane-pregnancy,yab,mujyanë,,n,pregnancy,,,
muku-child,yab,muku,,n,child,,,
mune-bulbous,yab,mune,,adv,bulbous,,,
munta-budding,yab,munta,,vi,budding,,,
mejki-dist-anim,yab,mëjkï,,pn,DIST.ANIM,,,
mere-2pro,yab,mërë,,pn,2PRO,,,
mijna-there-all,yab,mïjna,,adv,there.ALL,,,
minte-there-loc,yab,mïntë,,adv,there.LOC,,,
mira-priodontes-maximus,yab,mïra,,n,priodontes maximus,,,
nai-do,yab,nai,,vt,do,,,
najmo-grandmother,yab,najmo,,n,grandmother,,,
najpi-grandfather,yab,najpï,,n,grandfather,,,
najwata-harbor,yab,najwata,,n,harbor,,,
naki-thirst,yab,naki,,n,thirst,,,
nata-door,yab,nata,,n,door,,,
nepi-bring,yab,nepï,,vt,bring,,,
nono-earth,yab,nono,,n,earth,,,
nope-good,yab,nope,,adv,good,,,
noro-parrot-sp,yab,noro,,n,parrot.sp,,,
noti-potential-partner,yab,noti,,n,potential partner; cross cousin,,,
nta-mouth,yab,nta,,n,mouth,,,
nune-moon,yab,nunë,,n,moon,,,
nu-tongue,yab,nu,,n,tongue,,,
nwajte-dance,yab,nwajtë,,vi,dance,,,
neme-leave,yab,nëmë,,vt,leave,,,
ojpa-give-drink,yab,ojpa,,vt,give drink,,,
onono-another,yab,onono,,n,another,,,
orojyamo-evil-being,yab,orojyamo,,n,evil being,,,
pachi-older-sister-of-woman,yab,pachi,,n,older sister of woman,,,
paka-cow,yab,paka,,n,cow,,,
pakara-basket,yab,pakara,,n,basket,,,
pakura-coix-lacryma-jobi,yab,pakura,,n,Coix lacryma-jobi,,,
paku-arrow-tip,yab,paku,,n,arrow tip,,,
pana-ear,yab,pana,,n,ear,,,
pana-dat,yab,pana,,postp,DAT,,,
papa-father,yab,papa,,n,father,,,
parujpe-broth,yab,parujpë,,n,broth,,,
pata-village,yab,pata,,n,village,,,
pata-axe,yab,pata,,n,axe,,,
pate-cross,yab,patë,,vt,cross,,,
penare-before,yab,penarë,,adv,before,,,
pene-piranha,yab,pene,,n,piranha,,,
pepoye-above-perl,yab,pepoye,,postp,above.PERL,,,
pe-palm-sp,yab,pe,,n,palm.sp,,,
peti-leg,yab,peti,,n,leg,,,
