ID,Name,Description,Media_Type,Download_URL,Path_In_Zip
yarlex-0052-pape-apachike-02-wav,YarLex_0052_PaPe_apachike-02,,x/wav,YarLex_0052_PaPe_apachike-02.wav,
yarlex-0017-anfo-aka-02-wav,YarLex_0017_AnFo_aka-02,,x/wav,YarLex_0017_AnFo_aka-02.wav,
yarlex-0044-pape-aniki-02-wav,YarLex_0044_PaPe_aniki-02,,x/wav,YarLex_0044_PaPe_aniki-02.wav,
yarlex-0068-anfo-apo-wav,YarLex_0068_AnFo_apo,,x/wav,YarLex_0068_AnFo_apo.wav,
yarlex-0074-anfo-arajmate-02-wav,YarLex_0074_AnFo_arajmate-02,,x/wav,YarLex_0074_AnFo_arajmate-02.wav,
yarlex-0092-anfo-arokate-wav,YarLex_0092_AnFo_arokate,,x/wav,YarLex_0092_AnFo_arokate.wav,
yarlex-0110-anfo-asakontompene-wav,YarLex_0110_AnFo_asakontompene,,x/wav,YarLex_0110_AnFo_asakontompene.wav,
yarlex-0101-anfo-asake-wav,YarLex_0101_AnFo_asake,,x/wav,YarLex_0101_AnFo_asake.wav,
yarlex-0114-pape-asane-wav,YarLex_0114_PaPe_asane,,x/wav,YarLex_0114_PaPe_asane.wav,
yarlex-0126-anfo-asereke-wav,YarLex_0126_AnFo_asereke,,x/wav,YarLex_0126_AnFo_asereke.wav,
yarlex-0188-anfo-chijchipuru-wav,YarLex_0188_AnFo_chijchipuru,,x/wav,YarLex_0188_AnFo_chijchipuru.wav,
yarlex-0291-anfo-ejne-02-wav,YarLex_0291_AnFo_ejne-02,,x/wav,YarLex_0291_AnFo_ejne-02.wav,
yarlex-0358-anfo-eni-02-wav,YarLex_0358_AnFo_eni-02,,x/wav,YarLex_0358_AnFo_eni-02.wav,
yarlex-0360-anfo-enijpete-02-wav,YarLex_0360_AnFo_enijpete-02,,x/wav,YarLex_0360_AnFo_enijpete-02.wav,
yarlex-0368-pape-enirono-02-wav,YarLex_0368_PaPe_enirono-02,,x/wav,YarLex_0368_PaPe_enirono-02.wav,
yarlex-0376-pape-ente-wav,YarLex_0376_PaPe_ente,,x/wav,YarLex_0376_PaPe_ente.wav,
