ID,Language_ID,Name,Description,Parameter_ID,Comment,Source,Part_Of_Speech,Tags
u1,yab,u=,,1,,,,
me2,yab,më=,,2,,,,
a2,yab,a(y)-,,2,Conservative _ë-_.,,,
i3,yab,i-/t-,,3,The old *_-it_.,,,inflection
ej12,yab,ej=,,1+2,,,,
ta-3,yab,ta-,,3P; 3,,,,
yeperl,yab,-ye,,ADVZ,Not productive.,,,
pokobecause,yab,poko,,because,,,,
ripocntf,yab,-ripo,,CNTF,,,,
tojpefut,yab,-tojpe,,FUT,From [mp](tojpepurp).,,,
tojpanofut,yab,-tojpano,,FUT.CONCL,From -tojpe + -ano ‘PURP + NMLZ’,,,
ihort,yab,-i,,HORT,An old Set I?,,,
sareimn,yab,-sarë,,IMN,,,,
keimp,yab,-kë,,IMP,,,,
riipfv,yab,-ri,,IPFV,From [mp](rinmlz).,,,
ripoirr,yab,-ripo,,IRR,,,,
ylk,yab,y-,,LK,,,,
tamotimp,yab,-ta,,MOTIMP,,,,
janeg,yab,-ja,,NEG,,,,
jnarineg,yab,-jnari,,NEG,,,,
tenpert,yab,-të,,NPERT,Only occurs on a few nouns.,,,
tipert,yab,-ti,,PERT,,,,
rupert,yab,-ri,,PERT,,,,
ipert,yab,-i,,PERT,,,,
sapepfv,yab,-sapë,,PFV,From [mp](sapenmlz).,,,
tomopl,yab,-tomo,,PL,,,,
tepl,yab,-të,,PL,Occurs with [mp](keimp).,,,
tikenepost,yab,-tïkene,,POST,Main clause inflection?,,,
nepeke,yab,-nëpëkë,,PROG.INTR,,,,
pekeprog,yab,-pëkë,,PROG.TR,,,,
jramaproh,yab,-jrama,,PROH,,,,
sepst,yab,-se,,PST,From [mp](septcp).,,,
jpepst,yab,-jpë,,PST,From [mp](jpenmlz).,,,
sapepst,yab,-sapë,,PST,From [mp](sapenmlz).,,,
kempinire,yab,-kempïnirë,,PTCP.NZR.GNO:NEG,?,,,
ma,yab,ma,,RESTR,,,,
jra-neg,yab,=jra,,NEG,,,,
sapenmlz,yab,-sapë,,ABS.NMLZ,Gave rise to [mp](sapepfv).,,,
rinmlz,yab,-ri,,ACNNMLZ,Gave rise to [mp](riipfv).,,,
readvz,yab,-re,,ADVZ,,,,
neadvz,yab,-ne,,ADVZ,Not productive.,,,
yeadvz,yab,-ye,,ADVZ,,,,
ninmlz,yab,-ni,,AGTNMLZ,Has developed predicative uses.,,,
pocaus,yab,-po,,CAUS,"Occurs marginally, causee w/ =pana.",,,
macaus,yab,-ma,,CAUS,,,,
toponmlz,yab,-topo,,CIRC.NMLZ,"Contained in [mp](tojpepurp). Marginally occurs in predicative uses (histyarirdi-0542, histyarirdi-0091); can combine with [mp](neinf).",,,
tanecncs,yab,-tane,,CNCS,,,,
sarecvb,yab,-sarë,,CVB,Gave rise to [mp](sareimn).,,,
podes,yab,-po,,DES,,,,
dt2,yab,s-,,DETRZ,,,,
dt1,yab,ëj-,,DETRZ,,,,
dt3,yab,at-,,DETRZ,,,,
pijkedim,yab,-pïjkë,,DIM,,,,
neinf,yab,-në,,INF,Lexically characterized: v.n. in FLEx.,,,
anonmlz,yab,-ano,,NMLZ,,,,
minmlz,yab,-mï,,NMLZ,,,,
nnmlzpre,yab,n-,,P.NMLZ,,,,
petiplur,yab,-pëti,,PLUR,Lexicalized with some verbs.,,,
pininmlz,yab,‑pïnï,,PRIV.NMLZ,,,,
keprop,yab,-ke,,PROP,Etymologically 'have N’.,,,
tprop,yab,t-,,PROP,"Fossilized, but still looks like a morpheme.",,,
jpenmlz,yab,-jpë,,PST.ACNNMLZ,,,,
septcp,yab,-se,,PTCP; SUP,,,,
tojpepurp,yab,-tojpe,,PURP,From [mp](toponmlz) and [mp](pe-ess). Gave rise to [mp](tojpefut).,,,
pamivbz,yab,-pamï,,VBZ,n>vi ‘S characterized by N’,,,
tavbz,yab,-ta,,VBZ.INTR,n>vi ‘S characterized by N’,,,
kavbz,yab,-ka,,VBZ.TR,'deprive P of N’,,,
jtevbz,yab,-jtë,,VBZ.TR,"n>vt, ‘provide P with N’ or ‘make P characterized by N’",,,
imi-father,yab,ïmï,,father,Irregularly inflected.,,,
achi-wilderness,yab,achi,,wilderness,,,,
aijkorono-recovered,yab,aijkorono,,recovered,,,,
ajpachi-undergrowth,yab,ajpachi,,undergrowth,,,,
ajyu-tucuma-palm,yab,ajyu,,tucuma (palm),,,,
aka-ouch-cry-of-pain,yab,aka,,ouch (cry of pain),,,,
ako-pylon,yab,ako,,pylon,,,,
aki-worm,yab,akï,,worm; maggot,,,,
amaka-sweet-yucca,yab,amaka,,sweet yucca,,,,
amu-ripeness,yab,amu,,ripeness,,,,
ami-unidentified-plant,yab,amï,,unidentified plant,,,,
ana-1-3pro,yab,ana,,1+3PRO,,,,
anaijke-wild-pineapple-sp,yab,anaijkë,,wild pineapple sp.,,,,
anake-ant-sp,yab,anakë,,ant sp.,,,,
anau-ant-sp,yab,anau,,ant sp.,,,,
anoto-annatto,yab,anoto,,annatto,,,,
anta-island,yab,anta,,island,,,,
ante-fish-hook,yab,antë,,fish hook,,,,
apa-decrease,yab,apa,,decrease,,,,
apereku-ceiba,yab,apereku,,ceiba,,,,
aperemu-chrysalis,yab,aperemu,,chrysalis,,,,
api-ripeness,yab,api,,ripeness,,,,
apo-later,yab,apo,,later; meanwhile,,,,
aponte-seat,yab,apontë,,seat; nest,,,,
apuni-soap,yab,apuni,,soap,,,,
apemiti-bracelet,yab,apëmïti,,bracelet,,,,
arajmate-dangerous,yab,arajmatë,,dangerous,,,,
arata-horned-beetle,yab,arata,,horned beetle,,,,
arauruku-wild-grape-sp,yab,arauruku,,wild grape sp.,,,,
