ID,Language_ID,Name,Description,Segments,Morpheme_ID,Parameter_ID,Comment,Source,Part_Of_Speech
i31,yab,i-,,i,i3,3,,,
ij3,yab,ij-,,i h,i3,3,Irregular allomorph on ‘to go’.,,
janeg,yab,-ja,,h a,janeg,NEG,,,
keimp,yab,-kë,,k ə,keimp,IMP,,,
kempinire,yab,-kempïnirë,,k e m p ɨ n i r ə,kempinire,PTCP.NZR.GNO:NEG,,,
ma,yab,ma,,m a,ma,RESTR,,,
me2,yab,më-,,m ə,me2,2,,,
pokobecause,yab,poko,,p o k o,pokobecause,because,,,
sareimn,yab,-sarë,,s a r ə,sareimn,IMN,,,
ta-3,yab,ta-,,t a,ta-3,3P; 3,,,
te-3,yab,të-,,t ə,ta-3,3P; 3,,,
t-3,yab,t-,,t,ta-3,3P; 3,,,
it3,yab,t-,,t,i3,3,,,
tamotimp,yab,-ta,,t a,tamotimp,MOTIMP,,,
tepeke,yab,-tëpëkë,,t ə p ə k ə,nepeke,PROG.INTR,,,
nepeke,yab,-nëpëkë,,n ə p ə k ə,nepeke,PROG.INTR,,,
tikenepost,yab,-tïkene,,t ɨ k e n e,tikenepost,POST,,,
tojpefut,yab,-tojpe,,t o h p e,tojpefut,FUT,,,
tomopl,yab,-tomo,,t o m o,tomopl,PL,,,
tonpl,yab,-ton,,t o n,tomopl,PL,,,
tompl,yab,-tom,,t o m,tomopl,PL,,,
u1,yab,u-,,u,u1,1,,,
ylk,yab,y-,,j,ylk,LK,,,
e2,yab,ë-,,ə,a2,2,,,
a2,yab,a-,,a,a2,2,,,
jnarineg,yab,-jnari,,h n a r i,jnarineg,NEG,,,
tenpert,yab,-të,,t ə,tenpert,NPERT,,,
tipert,yab,-ti,,t i,tipert,PERT,,,
jpert,yab,-j,,h,tipert,PERT,,,
o2,yab,o-,,o,a2,2,,,
ri-zero,yab,-∅,,,riipfv,IPFV,,,
ri,yab,-ri,,r i,riipfv,IPFV,,,
ri-ri,yab,-rï,,r ɨ,riipfv,IPFV,,,
ri-ru,yab,-ru,,r u,riipfv,IPFV,,,
sepst,yab,-se,,s e,sepst,PST,,,
jpepst1,yab,-jpë,,h p ə,jpepst,PST,,,
sapepfv,yab,-sapë,,s a p ə,sapepfv,PFV,,,
sajpfv,yab,-saj,,s a h,sapepfv,PFV,,,
ripert,yab,-ri,,r i,rupert,PERT,,,
rupert,yab,-ru,,r u,rupert,PERT,,,
pikeprog,yab,-pïkë,,p ɨ k ə,pekeprog,PROG.TR,,,
pekeprog,yab,-pëkë,,p ə k ə,pekeprog,PROG.TR,,,
chepst,yab,-che,,t͡ʃ e,sepst,PST,,,
jramaproh,yab,-jrama,,h r a m a,jramaproh,PROH,,,
ripocntf,yab,-ripo,,r i p o,ripocntf,CNTF,,,
yeperl,yab,-ye,,j e,yeperl,ADVZ,,,
rupert-zero,yab,-∅,,,rupert,PERT,,,
tojpanofut,yab,-tojpano,,t o h p a n o,tojpanofut,FUT.CONCL,,,
tepl,yab,-të,,t ə,tepl,PL,,,
ihort,yab,-i,,i,ihort,HORT,,,
rypert,yab,-rï,,r ɨ,rupert,PERT,,,
chareimn,yab,-charë,,t͡ʃ a r ə,sareimn,IMN,,,
ej12,yab,ej-,,e h,ej12,1+2,,,
ipert,yab,-i,,i,ipert,PERT,,,
ripoirr,yab,-ripo,,r i p o,ripoirr,IRR,,,
anonmlz,yab,-ano,,a n o,anonmlz,NMLZ,,,
nanmlz,yab,-na,,n a,anonmlz,NMLZ,,,
annmlz,yab,-an,,a n,anonmlz,NMLZ,,,
nnmlz,yab,-n,,n,anonmlz,NMLZ,,,
nonmlz,yab,-no,,n o,anonmlz,NMLZ,,,
dt1,yab,ëj-,,ə h,dt1,DETRZ,,,
dt2,yab,s-,,s,dt2,DETRZ,,,
dt3,yab,at-,,a t,dt3,DETRZ,,,
dt4,yab,a-,,a,dt3,DETRZ,,,
dt5,yab,es-,,e s,dt2,DETRZ,,,
dt6,yab,oj-,,o h,dt1,DETRZ,,,
dt7,yab,ësë-,,ə s ə,dt1,DETRZ,,,
jpenmlz,yab,-jpë,,h p ə,jpenmlz,PST.ACNNMLZ,,,
jtevbz,yab,-jtë,,h t ə,jtevbz,VBZ.TR,,,
kavbz,yab,-ka,,k a,kavbz,VBZ.TR,,,
keprop,yab,-ke,,k e,keprop,PROP,,,
macaus,yab,-ma,,m a,macaus,CAUS,,,
minmlz,yab,-mï,,m ɨ,minmlz,NMLZ,,,
mnmlz,yab,-m,,m,minmlz,NMLZ,,,
neadvz,yab,-ne,,n e,neadvz,ADVZ,,,
neinf,yab,-në,,n ə,neinf,INF,,,
teinf,yab,-të,,t ə,neinf,INF,,,
ninmlz,yab,-ni,,n i,ninmlz,AGTNMLZ,,,
nnmlzpre,yab,n-,,n,nnmlzpre,P.NMLZ,,,
pocaus,yab,-po,,p o,pocaus,CAUS,,,
plur1,yab,-pëti,,p ə t i,petiplur,PLUR,,,
plur2,yab,-pëj,,p ə h,petiplur,PLUR,Syllable reduction,,
pijkedim,yab,-pïjkë,,p ɨ h k ə,pijkedim,DIM,,,
pininmlz,yab,-pïnï,,p ɨ n ɨ,pininmlz,PRIV.NMLZ,,,
podes,yab,-po,,p o,podes,DES,,,
readvz,yab,-re,,r e,readvz,ADVZ,,,
rinmlz,yab,-ri,,r i,rinmlz,ACNNMLZ,,,
rinmlz-zero,yab,-∅,,,rinmlz,ACNNMLZ,,,
chajnmlz,yab,-chaj,,t͡ʃ a h,sapenmlz,ABS.NMLZ,,,
sajnmlz,yab,-saj,,s a h,sapenmlz,ABS.NMLZ,,,
sapenmlz,yab,-sapë,,s a p ə,sapenmlz,ABS.NMLZ,,,
sarecvb,yab,-sarë,,s a r ə,sarecvb,CVB,,,
cheptcp,yab,-che,,t͡ʃ e,septcp,PTCP; SUP,,,
septcp,yab,-se,,s e,septcp,PTCP; SUP,,,
tanecncs,yab,-tane,,t a n e,tanecncs,CNCS,,,
tavbz,yab,-ta,,t a,tavbz,VBZ.INTR,,,
tojpepurp,yab,-tojpe,,t o h p e,tojpepurp,PURP,,,
tojnmlz,yab,-toj,,t o h,toponmlz,CIRC.NMLZ,,,
toponmlz,yab,-topo,,t o p o,toponmlz,CIRC.NMLZ,,,
yeadvz,yab,-ye,,j e,yeadvz,ADVZ,,,
tprop,yab,t-,,t,tprop,PROP,,,
imifather-1,yab,ïmï,,ɨ m ɨ,imi-father,father,1,,
imifather-2a,yab,më,,m ə,imi-father,father,2,,
imifather-3,yab,mu,,m u,imi-father,father,3,,
imifather-2b,yab,mo,,m o,imi-father,father,2,,
achi-wilderness,yab,achi,,a t͡ʃ i,achi-wilderness,wilderness,,,
aijkorono-recovered,yab,aijkorono,,a i h k o r o n o,aijkorono-recovered,recovered,,,
ajpachi-undergrowth,yab,ajpachi,,a h p a t͡ʃ i,ajpachi-undergrowth,undergrowth,,,
ajyu-tucuma-palm,yab,ajyu,,a h j u,ajyu-tucuma-palm,tucuma (palm),,,
aka-ouch-cry-of-pain,yab,aka,,a k a,aka-ouch-cry-of-pain,ouch (cry of pain),,,
ako-pylon,yab,ako,,a k o,ako-pylon,pylon,,,
aki-worm,yab,akï,,a k ɨ,aki-worm,worm; maggot,,,
amaka-sweet-yucca,yab,amaka,,a m a k a,amaka-sweet-yucca,sweet yucca,,,
amu-ripeness,yab,amu,,a m u,amu-ripeness,ripeness,,,
ami-unidentified-plant,yab,amï,,a m ɨ,ami-unidentified-plant,unidentified plant,,,
ana-1-3pro,yab,ana,,a n a,ana-1-3pro,1+3PRO,,,
anaijke-wild-pineapple-sp,yab,anaijkë,,a n a i h k ə,anaijke-wild-pineapple-sp,wild pineapple sp.,,,
anake-ant-sp,yab,anakë,,a n a k ə,anake-ant-sp,ant sp.,,,
anau-ant-sp,yab,anau,,a n a u,anau-ant-sp,ant sp.,,,
anoto-annatto,yab,anoto,,a n o t o,anoto-annatto,annatto,,,
anta-island,yab,anta,,a n t a,anta-island,island,,,
ante-fish-hook,yab,antë,,a n t ə,ante-fish-hook,fish hook,,,
apa-decrease,yab,apa,,a p a,apa-decrease,decrease,,,
apereku-ceiba,yab,apereku,,a p e r e k u,apereku-ceiba,ceiba,,,
aperemu-chrysalis,yab,aperemu,,a p e r e m u,aperemu-chrysalis,chrysalis,,,
api-ripeness,yab,api,,a p i,api-ripeness,ripeness,,,
apo-later,yab,apo,,a p o,apo-later,later; meanwhile,,,
aponte-seat,yab,apontë,,a p o n t ə,aponte-seat,seat; nest,,,
apuni-soap,yab,apuni,,a p u n i,apuni-soap,soap,,,
apemiti-bracelet,yab,apëmïti,,a p ə m ɨ t i,apemiti-bracelet,bracelet,,,
arajmate-dangerous,yab,arajmatë,,a r a h m a t ə,arajmate-dangerous,dangerous,,,
arata-horned-beetle,yab,arata,,a r a t a,arata-horned-beetle,horned beetle,,,
arauruku-wild-grape-sp,yab,arauruku,,a r a u r u k u,arauruku-wild-grape-sp,wild grape sp.,,,
araway-wild-pineapple-sp,yab,araway,,a r a w a j,araway-wild-pineapple-sp,wild pineapple sp.,,,
araya-monkey-spider,yab,araya,,a r a j a,araya-monkey-spider,monkey spider,,,
arina-trembler,yab,arina,,a r i n a,arina-trembler,trembler,,,
aro-rice,yab,aro,,a r o,aro-rice,rice,,,
arojpete-garbage,yab,arojpëtë,,a r o h p ə t ə,arojpete-garbage,garbage,,,
arokate-difficult,yab,arokatë,,a r o k a t ə,arokate-difficult,difficult,,,
aroma-limpet,yab,aroma,,a r o m a,aroma-limpet,limpet,,,
