ID,Stem_ID,Morph_ID,Index,Gloss_ID
achi-wilderness,achi-wilderness,achi-wilderness,0,wilderness
aijkorono-recovered,aijkorono-recovered,aijkorono-recovered,0,recovered
ajpachi-undergrowth,ajpachi-undergrowth,ajpachi-undergrowth,0,undergrowth
ajyu-tucuma-palm,ajyu-tucuma-palm,ajyu-tucuma-palm,0,tucuma-palm
ako-pylon,ako-pylon,ako-pylon,0,pylon
aki-worm,aki-worm,aki-worm,0,worm
amaka-sweet-yucca,amaka-sweet-yucca,amaka-sweet-yucca,0,sweet-yucca
amu-ripeness,amu-ripeness,amu-ripeness,0,ripeness
ami-unidentified-plant,ami-unidentified-plant,ami-unidentified-plant,0,unidentified-plant
ana-1-3pro,ana-1-3pro,ana-1-3pro,0,1-3pro
anaijke-wild-pineapple-sp,anaijke-wild-pineapple-sp,anaijke-wild-pineapple-sp,0,wild-pineapple-sp
anake-ant-sp,anake-ant-sp,anake-ant-sp,0,ant-sp
anau-ant-sp,anau-ant-sp,anau-ant-sp,0,ant-sp
anoto-annatto,anoto-annatto,anoto-annatto,0,annatto
anta-island,anta-island,anta-island,0,island
ante-fish-hook,ante-fish-hook,ante-fish-hook,0,fish-hook
apa-decrease,apa-decrease,apa-decrease,0,decrease
apereku-ceiba,apereku-ceiba,apereku-ceiba,0,ceiba
aperemu-chrysalis,aperemu-chrysalis,aperemu-chrysalis,0,chrysalis
api-ripeness,api-ripeness,api-ripeness,0,ripeness
apo-later,apo-later,apo-later,0,later
aponte-seat,aponte-seat,aponte-seat,0,seat
apuni-soap,apuni-soap,apuni-soap,0,soap
apemiti-bracelet,apemiti-bracelet,apemiti-bracelet,0,bracelet
arajmate-dangerous,arajmate-dangerous,arajmate-dangerous,0,dangerous
arata-horned-beetle,arata-horned-beetle,arata-horned-beetle,0,horned-beetle
arauruku-wild-grape-sp,arauruku-wild-grape-sp,arauruku-wild-grape-sp,0,wild-grape-sp
araway-wild-pineapple-sp,araway-wild-pineapple-sp,araway-wild-pineapple-sp,0,wild-pineapple-sp
araya-monkey-spider,araya-monkey-spider,araya-monkey-spider,0,monkey-spider
arina-trembler,arina-trembler,arina-trembler,0,trembler
aro-rice,aro-rice,aro-rice,0,rice
arojpete-garbage,arojpete-garbage,arojpete-garbage,0,garbage
arokate-difficult,arokate-difficult,arokate-difficult,0,difficult
aroma-limpet,aroma-limpet,aroma-limpet,0,limpet
aropoko-ball-game,aropoko-ball-game,aropoko-ball-game,0,ball-game
asakontompene-four,asakontompene-four,asakontompene-four,0,four
asake-two,asake-two,asake-two,0,two
asakere-two,asakere-two,asakere-two,0,two
asare-get-stuck,asare-get-stuck,asare-get-stuck,0,get-stuck
asere-dry-cough,asere-dry-cough,asere-dry-cough,0,dry-cough
asuka-sugar,asuka-sugar,asuka-sugar,0,sugar
ati-plot-of-cultivated-land,ati-plot-of-cultivated-land,ati-plot-of-cultivated-land,0,plot-of-cultivated-land
ati-plot-of-cultivated-land-1,ati-plot-of-cultivated-land-1,ati-plot-of-cultivated-land-1,0,plot-of-cultivated-land
awajpe-mountain-eagle,awajpe-mountain-eagle,awajpe-mountain-eagle,0,mountain-eagle
awarake-wasp-sp,awarake-wasp-sp,awarake-wasp-sp,0,wasp-sp
awochi-tumor,awochi-tumor,awochi-tumor,0,tumor
chai-son-voc,chai-son-voc,chai-son-voc,0,son-voc
chapeti-squeal,chapeti-squeal,chapeti-squeal,0,squeal
chapeti-squeal-1,chapeti-squeal-1,chapeti-squeal-1,0,squeal
chijchipu-body-movement,chijchipu-body-movement,chijchipu-body-movement,0,body-movement
chika-bite,chika-bite,chika-bite,0,bite
chikimu-knee,chikimu-knee,chikimu-knee,0,knee
ichikimu-knee,ichikimu-knee,ichikimu-knee,0,knee
chike-chigger,chike-chigger,chike-chigger,0,chigger
chima-path,chima-path,chima-path,0,path
chimichimi-worm-dog,chimichimi-worm-dog,chimichimi-worm-dog,0,worm-dog
chipiyu-fungus-sp,chipiyu-fungus-sp,chipiyu-fungus-sp,0,"fungus,sp"
chipe-caranna,chipe-caranna,chipe-caranna,0,caranna
chiramu-mange,chiramu-mange,chiramu-mange,0,mange
chirike-star,chirike-star,chirike-star,0,star
chiri-titi-monkey,chiri-titi-monkey,chiri-titi-monkey,0,titi-monkey
chiri-wild-pineapple,chiri-wild-pineapple,chiri-wild-pineapple,0,wild-pineapple
chiyakono-friend,chiyakono-friend,chiyakono-friend,0,friend
chiyakon-friend,chiyakon-friend,chiyakon-friend,0,friend
chiyakom-friend,chiyakom-friend,chiyakom-friend,0,friend
chekey-nit,chekey-nit,chekey-nit,0,nit
ejne-1-2pro,ejne-1-2pro,ejne-1-2pro,0,1-2pro
ejne-1-2pro-1,ejne-1-2pro-1,ejne-1-2pro-1,0,1-2pro
enijpete-one,enijpete-one,enijpete-one,0,one
enire-now,enire-now,enire-now,0,now
eniro-now,eniro-now,eniro-now,0,now
entono-from-here,entono-from-here,entono-from-here,0,from-here
ente-here-loc,ente-here-loc,ente-here-loc,0,"here,loc"
epe-escape,epe-escape,epe-escape,0,escape
eretapi-cultivated-plant,eretapi-cultivated-plant,eretapi-cultivated-plant,0,cultivated-plant
ewine-here-all,ewine-here-all,ewine-here-all,0,"here,all"
ijmoy-egg,ijmoy-egg,ijmoy-egg,0,egg
ijpu-summit,ijpu-summit,ijpu-summit,0,summit
inawe-have,inawe-have,inawe-have,0,have
ini-see,ini-see,ini-see,0,see
in-see,in-see,in-see,0,see
ene-see,ene-see,ene-see,0,see
intipijke-small,intipijke-small,intipijke-small,0,small
iriyawe-then,iriyawe-then,iriyawe-then,0,then
irejpe-then,irejpe-then,irejpe-then,0,then
ita-hear,ita-hear,ita-hear,0,hear
iyajtepe-before,iyajtepe-before,iyajtepe-before,0,before
yajtepe-before,yajtepe-before,yajtepe-before,0,before
iyajte-care-for,iyajte-care-for,iyajte-care-for,0,care-for
jta-foot,jta-foot,jta-foot,0,foot
jwaka-ill-aq,jwaka-ill-aq,jwaka-ill-aq,0,"ill,aq"
kaimo-game,kaimo-game,kaimo-game,0,game
kamere-lightning,kamere-lightning,kamere-lightning,0,lightning
kampara-big,kampara-big,kampara-big,0,big
kampra-big,kampra-big,kampra-big,0,big
kamwiyajka-change,kamwiyajka-change,kamwiyajka-change,0,change
kapau-dasypus-novemcinctus,kapau-dasypus-novemcinctus,kapau-dasypus-novemcinctus,0,dasypus-novemcinctus
karasake-white,karasake-white,karasake-white,0,white
ka-take-out,ka-take-out,ka-take-out,0,take-out
kasajpe-fruit-pit,kasajpe-fruit-pit,kasajpe-fruit-pit,0,fruit-pit
kaso-fat,kaso-fat,kaso-fat,0,fat
kawono-high,kawono-high,kawono-high,0,high
kawon-high,kawon-high,kawon-high,0,high
kawe-high,kawe-high,kawe-high,0,high
kayami-louse,kayami-louse,kayami-louse,0,louse
kaya-barbasco,kaya-barbasco,kaya-barbasco,0,barbasco
kaya-gourd,kaya-gourd,kaya-gourd,0,gourd
kejkepe-salamander,kejkepe-salamander,kejkepe-salamander,0,salamander
kinta-become-tired,kinta-become-tired,kinta-become-tired,0,become-tired
kocha-tail,kocha-tail,kocha-tail,0,tail
kojpa-night,kojpa-night,kojpa-night,0,night
konopo-rain,konopo-rain,konopo-rain,0,rain
ko-brassolis-sophorae,ko-brassolis-sophorae,ko-brassolis-sophorae,0,brassolis-sophorae
kori-brassolis-sophorae,kori-brassolis-sophorae,kori-brassolis-sophorae,0,brassolis-sophorae
kuku-answer,kuku-answer,kuku-answer,0,answer
kune-cook,kune-cook,kune-cook,0,cook
kuno-cook,kuno-cook,kuno-cook,0,cook
kuru-prochilodus-mariae,kuru-prochilodus-mariae,kuru-prochilodus-mariae,0,prochilodus-mariae
kuruwa-coroba-palm,kuruwa-coroba-palm,kuruwa-coroba-palm,0,coroba-palm
kuya-tree-sp,kuya-tree-sp,kuya-tree-sp,0,"tree,sp"
kuyuwi-bird-sp,kuyuwi-bird-sp,kuyuwi-bird-sp,0,"bird,sp"
kejma-hunt,kejma-hunt,kejma-hunt,0,hunt
kemu-pus,kemu-pus,kemu-pus,0,pus
keta-stink,keta-stink,keta-stink,0,stink
ketejwate-cotton,ketejwate-cotton,ketejwate-cotton,0,cotton
keya-think,keya-think,keya-think,0,think
kimiy-chili,kimiy-chili,kimiy-chili,0,chili
kimii-chili,kimii-chili,kimii-chili,0,chili
kiripi-go-out,kiripi-go-out,kiripi-go-out,0,go-out
maka-ceiba-pentandra,maka-ceiba-pentandra,maka-ceiba-pentandra,0,ceiba-pentandra
makarike-cayman,makarike-cayman,makarike-cayman,0,cayman
makuyupi-catfish-sp,makuyupi-catfish-sp,makuyupi-catfish-sp,0,"catfish,sp"
make-mom,make-mom,make-mom,0,mom
mapara-chicken,mapara-chicken,mapara-chicken,0,chicken
mare-still,mare-still,mare-still,0,still
mare-still-1,mare-still-1,mare-still-1,0,still
mati-breast,mati-breast,mati-breast,0,breast
mejya-cover,mejya-cover,mejya-cover,0,cover
miti-root,miti-root,miti-root,0,root
mone-vagina,mone-vagina,mone-vagina,0,vagina
moneka-girl-voc,moneka-girl-voc,moneka-girl-voc,0,"girl,voc"
monkontomo-2pl-pro,monkontomo-2pl-pro,monkontomo-2pl-pro,0,"2pl,pro"
mokontomo-2pl-pro,mokontomo-2pl-pro,mokontomo-2pl-pro,0,"2pl,pro"
