ID,Language_ID,Name,Lexeme_ID,Parameter_ID,Morpho_Segments,Segments,Comment,Source,Part_Of_Speech
achi-wilderness,yab,achi,achi-wilderness,wilderness,achi,a t͡ʃ i,,,n
aijkorono-recovered,yab,aijkorono,aijkorono-recovered,recovered,aijkorono,a i h k o r o n o,,,n
ajpachi-undergrowth,yab,ajpachi,ajpachi-undergrowth,undergrowth,ajpachi,a h p a t͡ʃ i,,,n
ajyu-tucuma-palm,yab,ajyu,ajyu-tucuma-palm,tucuma (palm),ajyu,a h j u,,,n
ako-pylon,yab,ako,ako-pylon,pylon,ako,a k o,,,n
aki-worm,yab,akï,aki-worm,worm; maggot,akï,a k ɨ,,,n
amaka-sweet-yucca,yab,amaka,amaka-sweet-yucca,sweet yucca,amaka,a m a k a,,,n
amu-ripeness,yab,amu,amu-ripeness,ripeness,amu,a m u,,,n
ami-unidentified-plant,yab,amï,ami-unidentified-plant,unidentified plant,amï,a m ɨ,,,n
ana-1-3pro,yab,ana,ana-1-3pro,1+3PRO,ana,a n a,,,pn
anaijke-wild-pineapple-sp,yab,anaijkë,anaijke-wild-pineapple-sp,wild pineapple sp.,anaijkë,a n a i h k ə,,,n
anake-ant-sp,yab,anakë,anake-ant-sp,ant sp.,anakë,a n a k ə,,,n
anau-ant-sp,yab,anau,anau-ant-sp,ant sp.,anau,a n a u,,,n
anoto-annatto,yab,anoto,anoto-annatto,annatto,anoto,a n o t o,,,n
anta-island,yab,anta,anta-island,island,anta,a n t a,,,n
ante-fish-hook,yab,antë,ante-fish-hook,fish hook,antë,a n t ə,,,n
apa-decrease,yab,apa,apa-decrease,decrease,apa,a p a,,,vi
apereku-ceiba,yab,apereku,apereku-ceiba,ceiba,apereku,a p e r e k u,,,n
aperemu-chrysalis,yab,aperemu,aperemu-chrysalis,chrysalis,aperemu,a p e r e m u,,,n
api-ripeness,yab,api,api-ripeness,ripeness,api,a p i,,,n
apo-later,yab,apo,apo-later,later; meanwhile,apo,a p o,,,adv
aponte-seat,yab,apontë,aponte-seat,seat; nest,apontë,a p o n t ə,,,n
apuni-soap,yab,apuni,apuni-soap,soap,apuni,a p u n i,,,n
apemiti-bracelet,yab,apëmïti,apemiti-bracelet,bracelet,apëmïti,a p ə m ɨ t i,,,n
arajmate-dangerous,yab,arajmatë,arajmate-dangerous,dangerous,arajmatë,a r a h m a t ə,,,adv
arata-horned-beetle,yab,arata,arata-horned-beetle,horned beetle,arata,a r a t a,,,n
arauruku-wild-grape-sp,yab,arauruku,arauruku-wild-grape-sp,wild grape sp.,arauruku,a r a u r u k u,,,n
araway-wild-pineapple-sp,yab,araway,araway-wild-pineapple-sp,wild pineapple sp.,araway,a r a w a j,,,n
araya-monkey-spider,yab,araya,araya-monkey-spider,monkey spider,araya,a r a j a,,,n
arina-trembler,yab,arina,arina-trembler,trembler,arina,a r i n a,,,n
aro-rice,yab,aro,aro-rice,rice,aro,a r o,,,n
arojpete-garbage,yab,arojpëtë,arojpete-garbage,garbage,arojpëtë,a r o h p ə t ə,,,n
arokate-difficult,yab,arokatë,arokate-difficult,difficult,arokatë,a r o k a t ə,,,adv
aroma-limpet,yab,aroma,aroma-limpet,limpet,aroma,a r o m a,,,n
aropoko-ball-game,yab,aropoko,aropoko-ball-game,ball game,aropoko,a r o p o k o,,,n
asakontompene-four,yab,asakontompene,asakontompene-four,four,asakontompene,a s a k o n t o m p e n e,,,adv
asake-two,yab,asakë,asake-two,two,asakë,a s a k ə,,,adv
asakere-two,yab,asakërë,asake-two,two,asakërë,a s a k ə r ə,,,adv
asare-get-stuck,yab,asarë,asare-get-stuck,get stuck,asarë,a s a r ə,,,vi
asere-dry-cough,yab,asere,asere-dry-cough,dry cough,asere,a s e r e,,,n
asuka-sugar,yab,asuka,asuka-sugar,sugar,asuka,a s u k a,,,n
ati-plot-of-cultivated-land,yab,ati,ati-plot-of-cultivated-land,plot of cultivated land,ati,a t i,,,n
ati-plot-of-cultivated-land-1,yab,atï,ati-plot-of-cultivated-land,plot of cultivated land,atï,a t ɨ,,,n
awajpe-mountain-eagle,yab,awajpë,awajpe-mountain-eagle,mountain eagle,awajpë,a w a h p ə,,,n
awarake-wasp-sp,yab,awarakë,awarake-wasp-sp,wasp sp.,awarakë,a w a r a k ə,,,n
awochi-tumor,yab,awochi,awochi-tumor,tumor,awochi,a w o t͡ʃ i,,,n
chai-son-voc,yab,chai,chai-son-voc,son (voc.),chai,t͡ʃ a i,,,n
chapeti-squeal,yab,chapëtï,chapeti-squeal,squeal,chapëtï,t͡ʃ a p ə t ɨ,,,vi
chapeti-squeal-1,yab,chapëti,chapeti-squeal,squeal,chapëti,t͡ʃ a p ə t i,,,vi
chijchipu-body-movement,yab,chijchipu,chijchipu-body-movement,body movement,chijchipu,t͡ʃ i h t͡ʃ i p u,,,n
chika-bite,yab,chika,chika-bite,bite,chika,t͡ʃ i k a,,,vt
chikimu-knee,yab,chikimu,chikimu-knee,knee,chikimu,t͡ʃ i k i m u,,,n
ichikimu-knee,yab,ichikimu,chikimu-knee,knee,ichikimu,i t͡ʃ i k i m u,,,n
chike-chigger,yab,chikë,chike-chigger,chigger,chikë,t͡ʃ i k ə,,,n
chima-path,yab,chima,chima-path,path,chima,t͡ʃ i m a,,,n
chimichimi-worm-dog,yab,chimichimi,chimichimi-worm-dog,worm (dog),chimichimi,t͡ʃ i m i t͡ʃ i m i,,,n
chipiyu-fungus-sp,yab,chipiyu,chipiyu-fungus-sp,fungus.sp,chipiyu,t͡ʃ i p i j u,,,n
chipe-caranna,yab,chipë,chipe-caranna,caranna,chipë,t͡ʃ i p ə,,,n
chiramu-mange,yab,chiramu,chiramu-mange,mange,chiramu,t͡ʃ i r a m u,,,n
chirike-star,yab,chirikë,chirike-star,star,chirikë,t͡ʃ i r i k ə,,,n
chiri-titi-monkey,yab,chiri,chiri-titi-monkey,titi monkey,chiri,t͡ʃ i r i,,,n
chiri-wild-pineapple,yab,chiri,chiri-wild-pineapple,wild pineapple,chiri,t͡ʃ i r i,,,n
chiyakono-friend,yab,chiyakono,chiyakono-friend,friend,chiyakono,t͡ʃ i j a k o n o,,,n
chiyakon-friend,yab,chiyakon,chiyakono-friend,friend,chiyakon,t͡ʃ i j a k o n,,,n
chiyakom-friend,yab,chiyakom,chiyakono-friend,friend,chiyakom,t͡ʃ i j a k o m,,,n
chekey-nit,yab,chëkëy,chekey-nit,nit,chëkëy,t͡ʃ ə k ə j,,,n
ejne-1-2pro,yab,ejnë,ejne-1-2pro,1+2PRO,ejnë,e h n ə,,,pn
ejne-1-2pro-1,yab,ejne,ejne-1-2pro,1+2PRO,ejne,e h n e,,,pn
enijpete-one,yab,enijpëtë,enijpete-one,one,enijpëtë,e n i h p ə t ə,,,adv
enire-now,yab,enirë,enire-now,now; today,enirë,e n i r ə,,,adv
eniro-now,yab,eniro,enire-now,now; today,eniro,e n i r o,,,adv
entono-from-here,yab,entono,entono-from-here,from here,entono,e n t o n o,,,n
ente-here-loc,yab,entë,ente-here-loc,here.LOC,entë,e n t ə,,,adv
epe-escape,yab,epe,epe-escape,escape; hide and seek,epe,e p e,,,vi
eretapi-cultivated-plant,yab,eretapi,eretapi-cultivated-plant,cultivated plant,eretapi,e r e t a p i,,,n
ewine-here-all,yab,ewinë,ewine-here-all,here.ALL,ewinë,e w i n ə,,,adv
ijmoy-egg,yab,ijmoy,ijmoy-egg,egg,ijmoy,i h m o j,,,n
ijpu-summit,yab,ijpu,ijpu-summit,summit,ijpu,i h p u,,,n
inawe-have,yab,inawë,inawe-have,have,inawë,i n a w ə,,,postp
ini-see,yab,ini,ini-see,see,ini,i n i,,,vt
in-see,yab,in,ini-see,see,in,i n,,,vt
ene-see,yab,ene,ini-see,see,ene,e n e,,,vt
intipijke-small,yab,intipijkë,intipijke-small,small,intipijkë,i n t i p i h k ə,? + [](morphemes.csv#cldf:pijkedim),,adv
iriyawe-then,yab,iriyawë,iriyawe-then,then,iriyawë,i r i j a w ə,,,adv
irejpe-then,yab,irëjpë,irejpe-then,then,irëjpë,i r ə h p ə,,,adv
ita-hear,yab,ita,ita-hear,hear,ita,i t a,,,vt
iyajtepe-before,yab,iyajtëpe,iyajtepe-before,before,iyajtëpe,i j a h t ə p e,,,adv
yajtepe-before,yab,yajtëpe,iyajtepe-before,before,yajtëpe,j a h t ə p e,,,adv
iyajte-care-for,yab,iyajtë,iyajte-care-for,care for,iyajtë,i j a h t ə,,,vt
jta-foot,yab,jta,jta-foot,foot,jta,h t a,,,n
jwaka-ill-aq,yab,jwaka,jwaka-ill-aq,ILL.AQ; LOC.AQ,jwaka,h w a k a,,,postp
kaimo-game,yab,kaimo,kaimo-game,game,kaimo,k a i m o,,,n
kamere-lightning,yab,kamere,kamere-lightning,lightning,kamere,k a m e r e,,,n
kampara-big,yab,kampara,kampara-big,big,kampara,k a m p a r a,,,n
kampra-big,yab,kampra,kampara-big,big,kampra,k a m p r a,,,n
