ID,Name,Description,Comment,Source,Type,Metadata
descmensgrme,Descripción de las prácticas en torno a la primera menstruación,,,,Description,"{""genre"": ""Description""}"
convsuenmaj,Conversation about dreams with IrDi and ElPe,,,,Conversation,"{""genre"": ""Conversation""}"
histyarirdi,Historia de vida de una mujer y costumbres de los yabaranas,,,,Story,"{""genre"": ""Story""}"
histanfo,Historia personal por AnFo,Personal narrative about childhood in San Juan Manapiare. Aunt sends uncle to go hunt and fish.,,,Personal narrative,"{""genre"": ""Personal narrative""}"
ctorat,Cuento de las ratas por AnFo,"A man goes up in the forest to sleep. There, mice are dancing, drinking chicha, and vomiting. He has to pee really bad. The mice are gone in the morning, and their vomit has disappeared. The man goes home.",,,Story,"{""genre"": ""Story""}"
ctoaragrme,Cuento de la araña,,,,Traditional narrative,"{""genre"": ""Traditional narrative""}"
convrisamaj,Conversación sobre la risa entre GrMe y ElPe,"Some people laugh about everything, others stay alone in their house and don't have anything to laugh about.",,,Conversation,"{""genre"": ""Conversation""}"
ctorosq,Cuento de la rosquilla por IrDi,,,,Story,"{""genre"": ""Story""}"
histpajirdi,Historia de Pajarito y algunas preguntas sobre Tamanaco,,,,Narrative,"{""genre"": ""Narrative""}"
ctowaru,Cuento de la matanza por los waruwaru narrado por MaFl,,,,Story,"{""genre"": ""Story""}"
ctovarmafl,Cuento de Ochi y otros por MaFl,,,,Story,"{""genre"": ""Story""}"
desccasmaj,Descripción sobre como hacer casabe por IrDi y ElPe,,,,Description,"{""genre"": ""Description""}"
convcosnoind,Conversación cosas no indígenas,,,,Conversation,"{""genre"": ""Conversation""}"
convhistfamsjm,Conversation about family with María Flores and Pablo Pérez,,,,Conversation,"{""genre"": ""Conversation""}"
convestsjm,Conversación sobre estudios,,,,Conversation,"{""genre"": ""Conversation""}"
ctoyucairdi,Cuento sobre la yuca,,,,Narrative,"{""genre"": ""Narrative""}"
histgrme,Conversation about dreams with IrDi and ElPe,,,,Conversation,"{""genre"": ""Conversation""}"
conv1stenc,Conversación sobre los primeros tiempos de contacto,,,,Narrative,"{""genre"": ""Narrative""}"
ctotawirdi,Cuento de tawaru por IrDi,,,,Story,"{""genre"": ""Story""}"
desccasagrme,Descripción de la construcción de una casa e historia de la muerte de Agustín,,,,Description,"{""genre"": ""Description""}"
convamgu,Conversation about family between AmGu and ElPe,,,,Conversation,"{""genre"": ""Conversation""}"
convfemgrme,Conversación sobre malos augurios y otros,,,,Conversation,"{""genre"": ""Conversation""}"
histtiggrme,Historia personal sobre el encuentro con un tigre,,,,Story,"{""genre"": ""Story""}"
