ID,Language_ID,Form,Description,Part_Of_Speech,Parameter_ID,Morpho_Segments,Stem_ID,Segments,Comment,Source,Media_ID
ajpachike-undergrowth-prop,yab,ajpachike,,adv,weeded,ajpachi ke,,,,muller2021yawarana,YarLex_0052_PaPe_apachike-02
jra-neg,yab,jra,,part,NEG,jra,,,,muller2021yawarana,
aka-ouch-cry-of-pain,yab,aka,,ideo,ouch (cry of pain),aka,,,,muller2021yawarana,YarLex_0017_AnFo_aka-02
aniki-who,yab,aniki,,pn,who?,aniki,,,,muller2021yawarana,YarLex_0044_PaPe_aniki-02
apo-later,yab,apo,,adv,later; meanwhile,apo,,,,muller2021yawarana,YarLex_0068_AnFo_apo
arajmate-dangerous,yab,arajmatë,,adv,dangerous,arajmatë,,,,muller2021yawarana,YarLex_0074_AnFo_arajmate-02
arokate-difficult,yab,arokatë,,adv,difficult,arokatë,,,,muller2021yawarana,YarLex_0092_AnFo_arokate
asakontompene-four,yab,asakontompene,,adv,four,asakontompene,,,,muller2021yawarana,YarLex_0110_AnFo_asakontompene
asake-two,yab,asakë,,adv,two,asakë,,,,muller2021yawarana,YarLex_0101_AnFo_asake
jne-pl,yab,jne,,part,PL,jne,,,,muller2021yawarana,
asane-2-mother-pert,yab,asanë,,n,your mother,a sanë ∅,,,,muller2021yawarana,YarLex_0114_PaPe_asane
asereke-dry-cough-prop,yab,asereke,,adv,tuberculous,asere ke,,,,muller2021yawarana,YarLex_0126_AnFo_asereke
ayawori-2-uncle-pert,yab,ayawori,,n,your uncle; your father in law,ay awo ri,,,,muller2021yawarana,
chijchipuru-body-movement-pert,yab,chijchipuru,,n,move (body),chijchipu ru,,,,muller2021yawarana,
ejne-1-2pro,yab,ejnë,,pn,1+2PRO,ejnë,,,,muller2021yawarana,YarLex_0291_AnFo_ejne-02
eni-prox-inan,yab,eni,,dem,PROX.INAN,eni,,,,muller2021yawarana,YarLex_0358_AnFo_eni-02
enijpete-one,yab,enijpëtë,,adv,one,enijpëtë,,,,muller2021yawarana,YarLex_0360_AnFo_enijpete-02
enirono-now-nmlz,yab,enirono,,n,new,eniro no,,,,muller2021yawarana,YarLex_0368_PaPe_enirono-02
ente-here-loc,yab,entë,,adv,here.LOC,entë,,,,muller2021yawarana,YarLex_0376_PaPe_ente
ewine-here-all,yab,ewinë,,adv,here.ALL,ewinë,,,,muller2021yawarana,YarLex_0434_PaPe_ewine
ijmokani-cook-agtnmlz,yab,ijmokani,,n,cook,ijmoka ni,,,,muller2021yawarana,YarLex_0466_AnFo_ijmokani
ijtari-3-foot-pert,yab,ijtari,,n,foot,i jta ri,,,,muller2021yawarana,YarLex_0449_AnFo_ijtari
inawe-have,yab,inawë,,postp,have,inawë,,,,muller2021yawarana,YarLex_0479_PaPe_inawe
intipijke-small,yab,intipijkë,,adv,small,intipijkë,,,,muller2021yawarana,YarLex_0486_AnFo_intipijke
irejpe-then,yab,irëjpë,,adv,then,irëjpë,,,,muller2021yawarana,YarLex_0494_PaPe_irejpe
kaimoke-game-prop,yab,kaimoke,,adv,game-PROP,kaimo ke,,,,muller2021yawarana,
kamparake-big-prop,yab,kamparake,,adv,large,kampara ke,,,,muller2021yawarana,
karasake-white,yab,karasake,,adv,white,karasake,,,,muller2021yawarana,YarLex_0618_PaPe_karasake-02
kasori-fat-pert,yab,kasori,,n,fat,kaso ri,,,,muller2021yawarana,YarLex_0639_AnFo_kasori
kawe-high,yab,kawë,,adv,high,kawë,,,,muller2021yawarana,YarLex_0666_AnFo_kawe
