ID,title,Filename,Number
intro,Introduction,1_intro.txt,1
phono,Phonetics and phonology,2_phono.txt,2
POS,Parts of speech in Yawarana,3_POS.txt,3
nouns,Nouns,4_nouns.txt,4
verbderiv,Verbal roots and stems,5_verbderiv.txt,5
verbinfl,Verbal inflection,6_verbinfl.txt,6
adverbs,Adverbs,7_adverbs.txt,7
postp,Postpositions,8_postp.txt,8
partideo,"Particles, ideophones and interjections",9_partideo.txt,9
negation,Negation,10_negation.txt,10
auxiliarized-constructions,Auxiliarized constructions,11_auxiliarized-constructions.txt,11
phrases,Phrases,12_phrases.txt,12
nonverbal,Nonverbal predications,13_nonverbal.txt,13
simpleverb,Simple verbal clauses,14_simpleverb.txt,14
questions,Questions,15_questions.txt,15
multiclausal,Multiclausal,16_multiclausal.txt,16
wordorder,Word order variation,17_wordorder.txt,17
pragmarked,Pragmatically marked constructions,18_pragmarked.txt,18
voice,Detransitive voice,19_voice.txt,19
