,id,cat,perm,temp,loc,ex,poss
[gl](np)~[gl](pred)~ [mp](pinire-nothing?nt),✓ [exref](id-main-neg-npred-pinire),✓ [exref](cat-main-neg-npred-pinire),,,,,
[gl](np)~[gl](pred)~ [mp](pinire-nothing?nt) [gl](np)~[gl](subj)~,✓ [exref](id-main-neg-npred-pinire-nsubj),,,,,,
[gl](np)~[gl](subj)~ [gl](np)~[gl](pred)~ [mp](pinire-nothing?nt),,,✓ [exref](perm-main-neg-nsubj-npred-pinire),,,,
[mp](minmlz?nt) [mp](pinire-nothing?nt) [gl](np)~[gl](subj)~,,,✓ [exref](perm-main-neg-mp-minmlz-nt-pinire-nsubj),,,,
[gl](np)~[gl](subj)~ [gl](adv)~[gl](pred)~[mp](jraneg?nt),,,,✓ [exref](temp-main-neg-nsubj-advpred-jra),,,
[gl](cop)[mp](janeg?nt) [gl](adv)~[gl](pred)~,,,,✓ [exref](temp-main-neg-cop-ja-advpred),,,
[gl](adv)~[gl](pred)~ [gl](np)~[gl](subj)~ [gl](cop)[mp](janeg?nt),,,,✓ [exref](temp-main-neg-advpred-nsubj-cop-ja),,,
[gl](np)~[gl](subj)~ [gl](cop) [mp](pinire-nothing?nt) *entë*,,,,,✓ [exref](loc-main-neg-nsubj-cop-pinire-ente),,
N [mp](ylk?nt)[mp](akere-with) [gl](cop)-[gl](neg) [gl](np)~[gl](subj)~,,,,,✓ [exref](loc-main-neg-n-yakere-cop-neg-nsubj),,
[gl](np)~[gl](subj)~ *mëtë* [mp](pinire-nothing?nt),,,,,✓ [exref](loc-main-neg-nsubj-mete-pinire),,
N [mp](ylk?nt)[mp](akere-with) [gl](np)~[gl](subj)~ [gl](cop)-[gl](neg),,,,,✓ [exref](loc-main-neg-n-yakere-nsubj-cop-neg),,
[gl](np)~[gl](subj)~ *entë* [mp](pirare-nothing?nt),,,,,,✓ [exref](ex-main-neg-nsubj-ente-pirare),
*entë* [mp](pirare-nothing?nt),,,,,,✓ [exref](ex-main-neg-ente-pirare),
[gl](np)~[gl](subj)~ [gl](cop) *entë* [mp](pirare-nothing?nt),,,,,,✓ [exref](ex-main-neg-nsubj-cop-ente-pirare),
[mp](pirare-nothing?nt) [gl](np)~[gl](subj)~[mp](jraneg?nt),,,,,,✓ [exref](ex-main-neg-pirare-nsubj-jra),
[mp](pirare-nothing?nt),,,,,,✓ [exref](ex-main-neg-pirare),
ADVsubj [mp](pirare-nothing?nt) N *inawë*,,,,,,,✓ [exref](poss-main-neg-advsubj-pirare-n-inawe)
*entë* [gl](np)~[gl](subj)~ [mp](pinire-nothing?nt),,,,,,,✓ [exref](poss-main-neg-ente-nsubj-pinire)
