Base,Derivation
suku-urine,sujta-urinate
kaimo-game,kaimota-hunt
metej-thin,meteta-thin
yoko-pimple,yokota-grow-pimple
yerepunu-sick,yerepunta-become-sick
wereyi-cloud,wereyta-cloud-over
wanapu-savannah,wanaputa-grow-savannah-grass
sakau-sand,sakauta-get-sandy
roko-crazy,rokota-become-crazy
punu-flesh,punta-form-pulp
pike-fart,piketa-fart
pichipichi-whitebait,pichipichita-form-whitebait
naki-thirst,nakita-be-thirsty
muku-child,mukuta-have-son
moto-worm,motota-fill-with-worms
moroni-pain,moronta-hurt
mesuku-blood,mesujta-bleed
kere-ripe,kereta-ripen
kemu-pus,kemuta-emit-pus
konopo-rain,konopota-start-rainy-season
kawono-high,kawonota-get-high
kampara-big,kamparata-grow
chekey-nit,chekeyta-fill-with-nits
chimichimi-worm-dog,chimichimita-fill-with-worms-dog
chike-chigger,chiketa-get-chiggers
awochi-tumor,awochita-form-tumor
asere-dry-cough,asereta-have-dry-cough
aijkorono-recovered,aijkoronota-recover
ajpachi-undergrowth,ajpachita-overgrows
aki-worm,akita-fill-with-worms
